item_id,claim_id,paper_id,stratum,source_location,source_excerpt,P,B_A,B_B,M,R,code_claim_card_specifiable,code_scalar_directional,code_relation_type,code_planning_feasible,code_auditable_design,code_design_type,code_materialization_boundary,code_T1_exact_defensible
S037,ext_2101_10296v3_claim3,2101.10296v3,non_scalar_specifiable,line 67,"solvers, we observe a median speedup of 8 .96 and a mean speedup of over 2726. In practice, the beneﬁts of using the",QAOA automorphism reduction,automorphism-reduced QAOA,baseline QAOA,speedup (aggregate),A > B,,,,,,,,
S038,ext_2102_00345v2_claim3,2102.00345v2,non_scalar_specifiable,line 16,"accuracy. Finally, we show that SPQE performs similar to, and in some cases, better than selected configuration interaction and the density matrix renormalization group on 1–3 dimensional strongly",strongly correlated H10 energy estimation,SPQE,selected configuration interaction and DMRG,energy accuracy per variational parameter,A >= B,,,,,,,,
S039,ext_2107_08606v3_claim1,2107.08606v3,non_scalar_specifiable,line 14,"static ansatz by utilizing fewer quantum resources and with a smaller quantum depth on average, in presence and absence of quantum noise, and in cases when the number of qubits or condition",VQLS adaptive ansatz design,adaptive dynamic ansatz (ADA),standard static ansatz (ASA),quantum resources and circuit depth,A < B,,,,,,,,
S040,ext_2107_08606v3_claim2,2107.08606v3,non_scalar_specifiable,line 254,Table S9 it is clear that Pennylane-qulacs is on average about 2 times faster than Pennylane default and about 3,,,,,,,,,,,,,
S041,ext_2110_10788v3_claim1,2110.10788v3,non_scalar_specifiable,line 12,"(MaxCut), but can easily calculate other problems related to graphs. Here, I present a novel quantum optimization algorithm which uses exponentially less qubits as compared to the QAOA while requiring a signiﬁcantly reduced number of quantum operations to solve the MaxCut problem. Such an improved p",log-qubit MaxCut algorithm,proposed log-qubit MaxCut algorithm,QAOA,qubit count and quantum operations,A < B,,,,,,,,
S042,ext_2111_13454v3_claim4,2111.13454v3,non_scalar_specifiable,,,VQA optimizer convergence behavior,SPSA,CMA-ES,convergence speed and spread in final energy error,A > B,,,,,,,,
S043,ext_2112_03199v4_claim2,2112.03199v4,non_scalar_specifiable,,,,,,,,,,,,,,,
S044,ext_2202_14025v1_legacy_claim1,2202.14025v1,non_scalar_specifiable,line 461,"set by Rebase (Arline). It is interesting to note that Qiskit, Pytket and Cirq were able to compress input circuits to the optimal ones with optimal CX and U3 gate counts. This shows that KAK decomposition is in-build in the",two-qubit KAK benchmark compression,Qiskit/Pytket/Cirq pipelines,KAK optimal bound,CX and U3 gate counts,A == B,,,,,,,,
S045,ext_2202_14025v1_legacy_claim13,2202.14025v1,non_scalar_specifiable,line 958,that QiskitPl and PytketPl demonstrate similar compression performance on average successfully improving the circuit cost function.,structured circuit compression,QiskitPl,PytketPl,compression performance and circuit cost improvement,A ~= B,,,,,,,,
S046,ext_2202_14025v1_legacy_claim19,2202.14025v1,non_scalar_specifiable,line 1281,"For quantum chemistry (UCCSD) circuits, we observe that PytketChem and FullReduce show the best performance according to CF (1Q) and CF (2Q) compression ratios as the overall circuit cost, which is in agreement with the",UCCSD subroutine ranking,PytketChem and FullReduce,other subroutines,"CF(1Q), CF(2Q), and circuit cost",A > B,,,,,,,,
S047,ext_2202_14025v1_legacy_claim3,2202.14025v1,non_scalar_specifiable,line 528,"In Fig. 6 we compare performance of quantum compilers for the task of compression of randomly generated threequbit circuits. Pytket achieved the best compression results for both CX and single-qubit gate counts, although Pytket still was not able to reach the theoretical upper bound on the CX count ",three-qubit random circuit compression,Pytket,Qiskit/Cirq/PyZX competitors,CX and single-qubit gate count compression,A > B (multi-objective),,,,,,,,
S048,ext_2204_10741v2_claim1,2204.10741v2,non_scalar_specifiable,,,QKS excited-state eigensolver,QDavidson,existing QKS methods such as QLanczos,convergence speed and circuit depth,A > B,,,,,,,,
S049,ext_2204_13719v3_claim2,2204.13719v3,non_scalar_specifiable,,,MQT Bench benchmark generation,Qiskit benchmark generation,TKET benchmark generation,benchmark generation time and number of generated benchmarks,A > B,,,,,,,,
S050,ext_2206_06684v1_claim1,2206.06684v1,non_scalar_specifiable,,,,,,,,,,,,,,,
S051,ext_2209_02669v3_claim1,2209.02669v3,non_scalar_specifiable,line 17,architecture. Our optimized Toﬀoli gate implementation demonstrates an 18% reduction in inﬁdelity compared with the canonical implementation as benchmarked on IBM Jakarta with quantum process,,,,,,,,,,,,,
S052,ext_2209_02669v3_claim2,2209.02669v3,non_scalar_specifiable,line 423,"measured our optimized Toﬀoli gate, the canonical Toﬀoli gate, and the IBM Qiskit-compiled Toﬀoli gate average gate ﬁdelities to be 0 .864 ± 0.00166, 0.834 ± 0.00153, and 0 .828 ± 0.00166, respectively. Therefore,",,,,,,,,,,,,,
S053,ext_2002_11724v2_claim2,2002.11724v2,non_planning_record,,,excited-state energy estimation,VQD,SSVQE and MCVQE,energy accuracy,A > B,,,,,,,,
S054,ext_2002_11724v2_claim3,2002.11724v2,non_planning_record,line 360,"i), the VQD gives the most accurate oscillator strengths, which indicates that the method enables us to generate",transition oscillator-strength estimation,VQD,SSVQE and MCVQE,oscillator-strength accuracy,A > B,,,,,,,,
S055,ext_2102_06813v1_claim2,2102.06813v1,non_planning_record,line 1112,"Most graphs at n ≤ 9 exceed the Goemans-Williamson bound by p = 3 in these narrow distributions, indicating",MaxCut small graphs,QAOA p=3,Goemans-Williamson bound,approximation_ratio,A > B,,,,,,,,
S056,ext_2103_08563v3_claim2,2103.08563v3,non_planning_record,line 1107,"shown as the Heisenberg limit. VQPE is able to achieve substantially higher accuracy than idealized QPE for the same number of time steps per circuit, thus it is better suited for",VQPE vs quantum phase estimation,VQPE,idealized QPE,accuracy at same number of time steps per circuit,A > B,,,,,,,,
S057,ext_2107_08606v3_claim3,2107.08606v3,non_planning_record,,,VQLS total resource cost for high-condition matrices,ADA,ASA,total resource cost (TRC),A < B,,,,,,,,
S058,ext_2112_03199v4_claim3,2112.03199v4,non_planning_record,,,MaxCut clustering,normal QAOA,warm-start QAOA,runtime,A < B,,,,,,,,
S059,ext_2112_03199v4_claim4,2112.03199v4,non_planning_record,,,MaxCut clustering,VQE/classical algorithm,normal QAOA,energy_or_clustering_performance,A > B,,,,,,,,
S060,ext_2112_07416v2_claim3,2112.07416v2,non_planning_record,,,measurement allocation vs classical shadows,computational-basis-sampling method and GC grouping,LBCS and OGM classical-shadow approaches,number of measurements,A < B,,,,,,,,
S061,ext_2202_14025v1_legacy_claim8,2202.14025v1,non_planning_record,,,routing/mapping on target circuits and hardware architectures,Cirq GreedyRouting,Qiskit/Pytket routing methods,CX count/depth overhead,A > B,,,,,,,,
S062,ext_2204_10741v2_claim2,2204.10741v2,non_planning_record,,,six-spin QKS circuit-depth comparison,QDavidson,QLanczos,maximum gate depth for same energy accuracy,A < B,,,,,,,,
S063,ext_2204_10741v2_claim3,2204.10741v2,non_planning_record,line 553,it is noteworthy that the shots needed for QDavidson to converge are fewer than for the VQE procedure since the,QDavidson under finite-shot sampling,QDavidson,VQE procedure,shots needed to converge,A < B,,,,,,,,
S064,ext_2205_01192v1_claim1,2205.01192v1,non_planning_record,,,MaxCut random regular graph ansatz comparison,QAOA+,alternative multiangle QAOA ansätze,approximation ratio / performance,A > B,,,,,,,,
S065,ext_2205_01192v1_claim2,2205.01192v1,non_planning_record,,,QAOA+ vs standard QAOA,QAOA+,standard QAOA,approximation ratio,A > B,,,,,,,,
S066,ext_2205_01192v1_claim3,2205.01192v1,non_planning_record,line 275,"have observed that QAOA+ always gives higher approximation ratios than ma-QAOA does at equal parameter numbers, despite the fact that with the full 20 parameters ma-QAOA outperforms the maximally parameterized 17-parameter QAOA+.",QAOA+ vs ma-QAOA at equal parameter count,QAOA+,ma-QAOA,approximation ratio,A > B,,,,,,,,
S067,ext_2205_03441v1_claim4,2205.03441v1,non_planning_record,line 691,"ISM). Also, as it was mentioned, the Max-Cut problem translation to a quantum circuit needs less quantum gates and this allows, in the case of the real simulations, to maintain a lower number of quantum gates compared with the",QAOA problem-family implementation,Max-Cut translation,ISM translation,quantum_gate_count_and_closeness_to_optimum,A < B,,,,,,,,
S068,ext_2212_11405v1_claim2,2212.11405v1,non_planning_record,line 558,"stretched H4 molecule in panel (a) of Fig. 3, we note a faster convergence of the Qubit-ADAPT-VQE-SCF algorithm on the basis of a JW mapping in contrast to a BK mapping. Furthermore, similar to the fermionic ADAPT case,",Qubit-ADAPT-VQE-SCF mapping choice,Jordan-Wigner mapping,Bravyi-Kitaev mapping,convergence speed,A > B,,,,,,,,
S069,ext_2212_11405v1_claim3,2212.11405v1,non_planning_record,,,NO ground-state ADAPT-VQE-SCF ansatz construction,Qubit-ADAPT-VQE-SCF,fermionic ADAPT-VQE-SCF,CNOT gate count,A < B,,,,,,,,
S070,ext_2301_00520v2_claim5,2301.00520v2,non_planning_record,line 870,D-Wave devices performance diﬀerences: One last observation from Figure 6 is that there a small but consistent performance diﬀerence between the two quantum annealers; the slightly older generationAdvantage system4.1 yields lower mean energy thanAdvantage system6.1. Simulated annealing is comparable,higher-order Ising quantum annealing,Advantage system4.1,Advantage system6.1,mean_energy,A < B,,,,,,,,
S071,ext_2007_15671v1_claim2,2007.15671v1,scalar_planning_record,,,,,,,,,,,,,,,
S072,ext_2008_02941v2_claim3,2008.02941v2,scalar_planning_record,,,,,,,,,,,,,,,
S073,ext_2009_03351v3_claim2,2009.03351v3,scalar_planning_record,,,,,,,,,,,,,,,
S074,ext_2011_08137v3_claim2,2011.08137v3,scalar_planning_record,,,,,,,,,,,,,,,
S075,ext_2011_08137v3_claim4,2011.08137v3,scalar_planning_record,line 619,"Tables I and II, on the other hand, indicates that the HONO/LUNO active space leads to a slightly shorter",,,,,,,,,,,,,
S076,ext_2011_12191v4_claim1,2011.12191v4,scalar_planning_record,,,,,,,,,,,,,,,
S077,ext_2011_12191v4_claim2,2011.12191v4,scalar_planning_record,line 918,"T. Hence, in CNOT-OPT-A this eﬀect is mitigated to some extent by conﬁning this reduction in shorter segments, leading to a better performance compared to CNOT-OPT-B.",,,,,,,,,,,,,
S078,ext_2011_12191v4_claim5,2011.12191v4,scalar_planning_record,line 924,"with these software packages. Despite such diﬀerence, our CNOT-OPT-A algorithm gives much less overhead compared to Qiskit and TKET in most cases.",,,,,,,,,,,,,
S079,ext_2102_00345v2_claim1,2102.00345v2,scalar_planning_record,line 13,"employing a fixed ansatz, we find that PQE can converge disentangled (factorized) UCC wave functions to essentially identical energies as variational optimization while requiring fewer computational resources. A comparison of SPQE and adaptive variational quantum algorithms shows that—for",,,,,,,,,,,,,
S080,ext_2110_00592v2_claim3,2110.00592v2,scalar_planning_record,,,,,,,,,,,,,,,
S081,ext_2111_03016v3_claim3,2111.03016v3,scalar_planning_record,,,,,,,,,,,,,,,
S082,ext_2202_14025v1_legacy_claim22,2202.14025v1,scalar_planning_record,line 1295,"Trotter decomposition circuits, subroutines PytketChem and FullReduce demonstrate the best and the worst two-qubit gates count compression performance, which also matches conclusions of in accordance to Section 5.2. In the case of",,,,,,,,,,,,,
S083,ext_2205_01726v1_claim1,2205.01726v1,scalar_planning_record,,,,,,,,,,,,,,,
S084,ext_2205_01726v1_claim5,2205.01726v1,scalar_planning_record,,,,,,,,,,,,,,,
S085,ext_2206_06684v1_claim2,2206.06684v1,scalar_planning_record,,,,,,,,,,,,,,,
S086,ext_2211_07685v3_claim3,2211.07685v3,scalar_planning_record,line 32,"qubit rotations and controlled two-qubit gates on FPGA chip s. In our benchmark with the QISKIT package, the depth of the circuits produ ced by the SQUANDER package (with the DFE accelerator support) were le ss by 97% on",,,,,,,,,,,,,
S087,ext_2301_00520v2_claim3,2301.00520v2,scalar_planning_record,line 654,performance. The 2-round QAOA results had better average energy compared the 1-round results in 6 out of the 10 problem instances.,,,,,,,,,,,,,
S088,ext_2302_04479v2_claim1,2302.04479v2,scalar_planning_record,,,,,,,,,,,,,,,
S089,ext_2302_04479v2_claim2,2302.04479v2,scalar_planning_record,,,,,,,,,,,,,,,
S090,ext_2302_04479v2_claim3,2302.04479v2,scalar_planning_record,,,,,,,,,,,,,,,
S091,ext_2304_08814v2_claim4,2304.08814v2,scalar_planning_record,line 371,"(ps) generates strictly less CNOTs than the naive decomposition, but the lookahead heuristic makes the algorithm slightly slower than naive. Re-synthesizing the trailing CNOTs is beneficial for circuits with more phase gadgets but for",synthesis algorithm comparison,ParitySynth (ps),naive decomposition,CNOT count,A < B,,,,,,,,
S092,ext_2305_03390v1_claim3,2305.03390v1,scalar_planning_record,line 667,"equally. When using a quantum circuit simulator however, the wallclock times for the PUBO formulations showed much better results, most probably because of the lower number of qubits that need to",,,,,,,,,,,,,
S093,ext_2306_02024v1_claim1,2306.02024v1,scalar_planning_record,line 334,"TTOpt outperforms the BFGS optimizer for L = 2 − 4 layers, but its convergence improves with L slower and",,,,,,,,,,,,,
S094,ext_2308_01789v1_claim1,2308.01789v1,scalar_planning_record,,,,,,,,,,,,,,,
S095,ext_2211_07685v3_claim1,2211.07685v3,non_exact_auditable,,,,,,,,,,,,,,,
S096,ext_2211_07685v3_claim2,2211.07685v3,non_exact_auditable,line 593,"9-qubit experiment we achieved a 467 times shallower circuit than with QISKIT. Except a single example of the program rd53_138, our results also surpass the",,,,,,,,,,,,,
S097,ext_2211_07685v3_claim4,2211.07685v3,non_exact_auditable,line 454,"According to our numerical experiments, the DFE implementa tion on a single FPGA chip can evaluate the cost function (1) and its gradi ent components by about (6 − 13)× faster than our CPU implementation on a computing server",,,,,,,,,,,,,
S098,ext_2212_11405v1_claim1,2212.11405v1,non_exact_auditable,line 491,"Interestingly, as we show below in Section III, even a minimal 1G-ADAPT-VQE scheme could lead in some cases not only to faster convergence but also to lower two-qubit (CNOTs) gate counts.",ADAPT-VQE-SCF gate addition strategy,1G-ADAPT / single-gate appending,5G-ADAPT / multiple-gate appending,convergence speed and CNOT count,A > B,,,,,,,,
S099,ext_2303_08910v3_claim1,2303.08910v3,non_exact_auditable,line 11,"with tensors constrained to certain Trotter circuits. Here, we determine the scaling of computation costs for various critical spin chains which substantiates a polynomial quantum advantage in comparison to classical MERA simulations based on exact energy gradients or variational Monte Carlo. Algori",critical spin-chain MERA simulation,TMERA VQE,classical MERA methods,computation-cost scaling,A > B,,,,,,,,
S100,ext_2304_03829v1_claim2,2304.03829v1,non_exact_auditable,line 550,"Fully-explicit function representations not only result in increased circuit complexity, but also in increased time-to-synthesis, which is again higher for TBS than for ESOP. (See Figure 9.) On average, synthesis time was",oracle synthesis from explicit function representations,ESOP synthesis,TBS synthesis,time-to-synthesis,A < B,,,,,,,,
S101,ext_2304_03829v1_claim3,2304.03829v1,non_exact_auditable,,,oracle synthesis preprocessing,ESOP alone,ESOP with RTT preprocessing,time-to-synthesis,A < B,,,,,,,,
S102,ext_2304_08814v2_claim6,2304.08814v2,non_exact_auditable,line 565,"Steiner-GraySynth are an order of magnitude faster than Qiskit and TKET, even though the additional iterations of Reverse Traversal increased the normal",,,,,,,,,,,,,
S103,ext_2304_08814v2_claim7,2304.08814v2,non_exact_auditable,line 556,"compiler. For small circuits, TKET is the best compiler, but for larger circuits, ParitySynth and Steiner-GraySynth generated fewer CNOTs. We can see the",,,,,,,,,,,,,
S104,ext_2305_03390v1_claim2,2305.03390v1,non_exact_auditable,line 644,"Continuing with the circuit depth (also displayed in figure 8), we can observe a clear disadvantage of the PUBO approach when",continuous optimization with QAOA,QUBO approach,PUBO approach,circuit_depth,A < B,,,,,,,,
S105,ext_2308_01789v1_claim2,2308.01789v1,non_exact_auditable,line 394,"Furthermore, V Ans builds circuits with the lowest number of gates and cnot gates, probably because it is the only algorit hm",,,,,,,,,,,,,
S106,ext_2308_02536v1_legacy_claim2,2308.02536v1,non_exact_auditable,,,,,,,,,,,,,,,
S107,ext_2308_10383v2_claim4,2308.10383v2,non_exact_auditable,,,,,,,,,,,,,,,
S108,ext_2309_00047v1_claim1,2309.00047v1,non_exact_auditable,,,MaxCut ADAPT-QAOA,Dynamic-ADAPT-QAOA,ADAPT-QAOA,cnot_count_at_approximation_ratio,A < B,,,,,,,,
S109,ext_2309_00047v1_claim2,2309.00047v1,non_exact_auditable,,,MaxCut under gate noise,Dynamic-ADAPT-QAOA,standard ADAPT-QAOA,approximation_ratio,A > B,,,,,,,,
S110,ext_2309_00047v1_claim3,2309.00047v1,non_exact_auditable,,,MaxCut under gate noise,Dynamic-ADAPT-QAOA,standard ADAPT-QAOA,critical_gate_error_probability,A > B,,,,,,,,
S111,ext_2309_00047v1_claim5,2309.00047v1,non_exact_auditable,line 1284,"mitigation. These are depicted in FIG. 9. The data shows that applying error mitigation, even if it is just to secondorder, we can improve, on average, the outputted approximation ratio by Dynamic-ADAPT-QAOA. Additionally, extending this technique to other versions of QAOA should be analogous. Howev",Dynamic-ADAPT-QAOA under gate error,error-mitigated Dynamic-ADAPT-QAOA,unmitigated Dynamic-ADAPT-QAOA,mean_approximation_ratio,A > B,,,,,,,,
S112,ext_2309_04754v1_claim1,2309.04754v1,non_exact_auditable,line 84,1. Exponential saving on input state copies: To achieve arbitrarily precise estimates of all function evaluations that one encounters during an iterative optimization of the,,,,,,,,,,,,,
S113,ext_2309_05157v1_claim1,2309.05157v1,non_exact_auditable,,,,,,,,,,,,,,,
S114,ext_2309_05157v1_claim2,2309.05157v1,non_exact_auditable,,,,,,,,,,,,,,,
S115,ext_2309_05157v1_claim6,2309.05157v1,non_exact_auditable,line 514,"while Qiskit beats the direct AceCR(θ) implementation for γ ∈ { 0.25π, 0.75π, π}, future iterations of Superstaq will",two-qubit QAOA direct AceCR implementation on IBM hardware,Qiskit calibrated implementation,direct AceCR(theta) implementation,Hellinger fidelity,A > B,,,,,,,,
S116,ext_2309_16796v3_claim1,2309.16796v3,non_exact_auditable,line 518,QAOA circuits. We attempt to incorporate the quantum speedup from parallelism with the exploitation-exploration accuracy benefits of metaheuristic algorithms. Our research provides a novel insight into the applications of metaheuristicboosted QAOA circuits and their comparisons against Quantum Annea,QUBO/NPP optimization,metaheuristic-integrated QAOA,standard QAOA,accuracy,A > B,,,,,,,,
S117,ext_2309_16796v3_claim2,2309.16796v3,non_exact_auditable,,,QAOA optimizer comparison,QAOA with Ant Colony Swarm Optimization,QAOA with DE/PSO/GA and standard QAOA,accuracy,A > B,,,,,,,,
S118,ext_2309_16796v3_claim3,2309.16796v3,non_exact_auditable,,,QAOA optimizer comparison,standard QAOA,metaheuristic-optimized QAOA,time complexity,A < B,,,,,,,,
