claim_id,arxiv_id,paradigm,confidence,o1_pass,o1_reason,o2_pass,o2_reason,o3_pass,o3_reason,o4_pass,o4_reason,o5_pass,o5_reason,o6_pass,o6_reason,o7_pass,o7_reason,overall_verdict,notes,operationalizability_category,audit_eligibility_reason,claim_verbatim,claim_location,proposed_formalization,review_notes
ext_2202_14025v1_legacy_claim2,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,unclear,"Metric may be measurable, but quantitative operational definition is not explicit.",pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,borderline,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.,"In contrast, the compilation pipeline based on PyZX module was not able to achieve optimal compression of twoqubit circuits and showed a large gap to optimality.",worksheet Stage 3 accepted claim,"{""problem"": ""two-qubit KAK benchmark compression"", ""baseline_A"": ""PyZX pipeline"", ""baseline_B"": ""KAK optimal bound"", ""metric"": ""distance to optimal compression"", ""direction"": ""A < B"", ""delta"": ""0"", ""paradigm"": ""compilation"", ""metric_type"": ""continuous"", ""comparator_type"": ""compiler_vs_theoretical_bound""}",Directly states large gap to optimality.
ext_2202_14025v1_legacy_claim3,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,fail,Metric is mixed/composite rather than a single audit metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.,"Pytket achieved the best compression results for both CX and single-qubit gate counts, although Pytket still was not able to reach the theoretical upper bound on the CX count after compression (shown with the red horizontal line).",worksheet Stage 3 accepted claim,"{""problem"": ""three-qubit random circuit compression"", ""baseline_A"": ""Pytket"", ""baseline_B"": ""Qiskit/Cirq/PyZX competitors"", ""metric"": ""CX and single-qubit gate count compression"", ""direction"": ""A > B"", ""delta"": ""0"", ""paradigm"": ""compilation"", ""metric_type"": ""continuous"", ""comparator_type"": ""tool_vs_tool""}",Directly states Pytket achieved best compression results.
ext_2202_14025v1_legacy_claim4,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,unclear,"Metric may be measurable, but quantitative operational definition is not explicit.",pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,borderline,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.,"Notably, Cirq demonstrates the worst performance and, both PyZX and Cirq increased the number of U3 gates in the ﬁnal circuit.",worksheet Stage 3 accepted claim,"{""problem"": ""three-qubit random circuit compression"", ""baseline_A"": ""Cirq"", ""baseline_B"": ""Qiskit/Pytket/PyZX competitors"", ""metric"": ""compression performance"", ""direction"": ""A < B"", ""delta"": ""0"", ""paradigm"": ""compilation"", ""metric_type"": ""continuous"", ""comparator_type"": ""tool_vs_tool""}",Directly states Cirq has worst performance.
ext_2202_14025v1_legacy_claim5,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,unclear,"Metric may be measurable, but quantitative operational definition is not explicit.",pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,borderline,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.,"Overall, the performance of Qiskit and Pytket routing/mapping subroutines is very similar for a wide range of values of k according to CX count overhead metric.",worksheet Stage 3 accepted claim,"{""problem"": ""routing/mapping on random k-regular graphs"", ""baseline_A"": ""Qiskit Transpile"", ""baseline_B"": ""Pytket DefaultMapping"", ""metric"": ""CX count overhead"", ""direction"": ""A ~= B"", ""delta"": ""0"", ""paradigm"": ""compilation"", ""metric_type"": ""continuous"", ""comparator_type"": ""tool_vs_tool""}",Directly states similar performance by metric.
ext_2202_14025v1_legacy_claim6,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,operationalizable,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",audit_eligible_operationalizable,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.,"Both algorithms show somewhat diﬀerent performance according to CX depth overhead, where Transpile (Qiskit) outperforms DefaultMapping (Pytket) for densely connected graphs with node degrees k ≳ 8.",worksheet Stage 3 accepted claim,"{""problem"": ""routing/mapping on densely connected random k-regular graphs"", ""baseline_A"": ""Qiskit Transpile"", ""baseline_B"": ""Pytket DefaultMapping"", ""metric"": ""CX depth overhead"", ""direction"": ""A > B"", ""delta"": ""0"", ""paradigm"": ""compilation"", ""metric_type"": ""continuous"", ""comparator_type"": ""tool_vs_tool""}",Directly states Qiskit outperforms Pytket for k roughly >= 8.
ext_2202_14025v1_legacy_claim7,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,unclear,Hardware/noise language appears in the claim context; simulator-only computability needs confirmation.,pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,unclear,"Metric may be measurable, but quantitative operational definition is not explicit.",pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.,Transpile (Qiskit) and DefaultMapping (Pytket) demonstrate approximately matching performance with a slight edge by Pytket.,worksheet Stage 3 accepted claim,"{""problem"": ""routing/mapping on real-device coupling graphs"", ""baseline_A"": ""Pytket DefaultMapping"", ""baseline_B"": ""Qiskit Transpile"", ""metric"": ""routing/mapping overhead"", ""direction"": ""A > B"", ""delta"": ""0"", ""paradigm"": ""compilation"", ""metric_type"": ""continuous"", ""comparator_type"": ""tool_vs_tool""}",Directly states approximate match with slight Pytket edge.
ext_2202_14025v1_legacy_claim8,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,unclear,Hardware/noise language appears in the claim context; simulator-only computability needs confirmation.,pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,borderline,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.,GreedyRouting (Cirq) showed largest overheads for all target circuit types and hardware architectures.,worksheet Stage 3 accepted claim,"{""problem"": ""routing/mapping on target circuits and hardware architectures"", ""baseline_A"": ""Cirq GreedyRouting"", ""baseline_B"": ""Qiskit/Pytket routing methods"", ""metric"": ""CX count/depth overhead"", ""direction"": ""A > B"", ""delta"": ""0"", ""paradigm"": ""compilation"", ""metric_type"": ""continuous"", ""comparator_type"": ""tool_vs_tool""}","Direction is largest overhead, so higher is worse."
ext_2202_14025v1_legacy_claim11,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,unclear,"Metric may be measurable, but quantitative operational definition is not explicit.",pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,borderline,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.,"For random phase polynomial [ CX, Rz] circuits, PyZX outperforms competitors by a large margin in terms of CX count reduction, although by the expense of increasing of single-qubit gate count.",worksheet Stage 3 accepted claim,"{""problem"": ""random phase-polynomial circuit compression"", ""baseline_A"": ""PyZX"", ""baseline_B"": ""Qiskit/Pytket/Cirq competitors"", ""metric"": ""CX count reduction"", ""direction"": ""A > B"", ""delta"": ""0"", ""paradigm"": ""compilation"", ""metric_type"": ""continuous"", ""comparator_type"": ""tool_vs_tool""}",Directly states outperforms by a large margin and names metric.
ext_2202_14025v1_legacy_claim12,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,operationalizable,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",audit_eligible_operationalizable,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.,We found that Pytket with the backend implemented in C++ showed the best runtime performance.,worksheet Stage 3 accepted claim,"{""problem"": ""compiler runtime on random circuits"", ""baseline_A"": ""Pytket C++ backend"", ""baseline_B"": ""Qiskit/PyZX/Cirq Python implementations"", ""metric"": ""runtime performance"", ""direction"": ""A > B"", ""delta"": ""0"", ""paradigm"": ""compilation"", ""metric_type"": ""continuous"", ""comparator_type"": ""tool_vs_tool""}",Directly states best runtime performance.
ext_2202_14025v1_legacy_claim13,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,fail,Metric is mixed/composite rather than a single audit metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.,"First, from Fig. 14 we see that QiskitPl and PytketPl demonstrate similar compression performance on average successfully improving the circuit cost function.",worksheet Stage 3 accepted claim,"{""problem"": ""structured circuit compression"", ""baseline_A"": ""QiskitPl"", ""baseline_B"": ""PytketPl"", ""metric"": ""compression performance and circuit cost improvement"", ""direction"": ""A ~= B"", ""delta"": ""0"", ""paradigm"": ""compilation"", ""metric_type"": ""continuous"", ""comparator_type"": ""tool_vs_tool""}",Directly states similar average compression performance.
ext_2202_14025v1_legacy_claim14,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",fail,At least one compared baseline is a vague class rather than a publicly identifiable implementation.,fail,Metric is mixed/composite rather than a single audit metric.,pass,Metric is numerical or directly measurable.,fail,Compared objects include vague buckets such as other/conventional/prior/classical methods.,pass,Specific problem instance or family is identifiable.,not_operationalizable,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.,"For the case of the circuits implementing Trotter product formula for quantum dynamics simulation, we found that ChemPassPl signiﬁcantly outperformed other frameworks in terms of depth and CX depth reduction, see the right column in Fig. 14.",worksheet Stage 3 accepted claim,"{""problem"": ""Trotter product formula circuit compression"", ""baseline_A"": ""ChemPassPl"", ""baseline_B"": ""other frameworks"", ""metric"": ""depth and CX depth reduction"", ""direction"": ""A > B"", ""delta"": ""0"", ""paradigm"": ""compilation"", ""metric_type"": ""continuous"", ""comparator_type"": ""tool_vs_tool""}",Directly states significant outperformance and metric.
ext_2202_14025v1_legacy_claim15,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,unclear,"Metric may be measurable, but quantitative operational definition is not explicit.",pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,borderline,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.,"Interestingly, PyZXPl and ChemPassPl demonstrated a similar compression performance for UCCSD circuits, see Fig. 14 (ﬁrst column).",worksheet Stage 3 accepted claim,"{""problem"": ""UCCSD structured circuit compression"", ""baseline_A"": ""PyZXPl"", ""baseline_B"": ""ChemPassPl"", ""metric"": ""compression performance"", ""direction"": ""A ~= B"", ""delta"": ""0"", ""paradigm"": ""compilation"", ""metric_type"": ""continuous"", ""comparator_type"": ""tool_vs_tool""}",Directly states similar compression performance.
ext_2202_14025v1_legacy_claim16,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",fail,Compared objects are not both publicly identifiable from the worksheet/formalization.,pass,Five-tuple fields are present and directional with no obvious composite metric.,unclear,"Metric may be measurable, but quantitative operational definition is not explicit.",unclear,Compared objects are identifiable but not concrete named implementations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.,"However, for the Trotterized quantum dynamics benchmark PyZXPl signiﬁcantly increases output circuit size as shown in the second column in Fig. 14.",worksheet Stage 3 accepted claim,"{""problem"": ""Trotterized quantum dynamics compression"", ""baseline_A"": ""PyZXPl"", ""baseline_B"": ""input/baseline circuit size"", ""metric"": ""output circuit size"", ""direction"": ""A > B"", ""delta"": ""0"", ""paradigm"": ""compilation"", ""metric_type"": ""continuous"", ""comparator_type"": ""tool_vs_baseline""}",Directly states PyZXPl increases output circuit size.
