claim_id,arxiv_id,paradigm,confidence,o1_pass,o1_reason,o2_pass,o2_reason,o3_pass,o3_reason,o4_pass,o4_reason,o5_pass,o5_reason,o6_pass,o6_reason,o7_pass,o7_reason,overall_verdict,notes,operationalizability_category,audit_eligibility_reason
ext_2202_14025v1_legacy_claim2,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,unclear,"Metric may be measurable, but quantitative operational definition is not explicit.",pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,borderline,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2202_14025v1_legacy_claim3,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,fail,Metric is mixed/composite rather than a single audit metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2202_14025v1_legacy_claim4,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,unclear,"Metric may be measurable, but quantitative operational definition is not explicit.",pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,borderline,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2202_14025v1_legacy_claim5,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,unclear,"Metric may be measurable, but quantitative operational definition is not explicit.",pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,borderline,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2202_14025v1_legacy_claim6,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,operationalizable,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",audit_eligible_operationalizable,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2202_14025v1_legacy_claim7,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,unclear,Hardware/noise language appears in the claim context; simulator-only computability needs confirmation.,pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,unclear,"Metric may be measurable, but quantitative operational definition is not explicit.",pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2202_14025v1_legacy_claim8,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,unclear,Hardware/noise language appears in the claim context; simulator-only computability needs confirmation.,pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,borderline,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2202_14025v1_legacy_claim11,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,unclear,"Metric may be measurable, but quantitative operational definition is not explicit.",pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,borderline,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2202_14025v1_legacy_claim12,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,operationalizable,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",audit_eligible_operationalizable,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2202_14025v1_legacy_claim13,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,fail,Metric is mixed/composite rather than a single audit metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2202_14025v1_legacy_claim14,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",fail,At least one compared baseline is a vague class rather than a publicly identifiable implementation.,fail,Metric is mixed/composite rather than a single audit metric.,pass,Metric is numerical or directly measurable.,fail,Compared objects include vague buckets such as other/conventional/prior/classical methods.,pass,Specific problem instance or family is identifiable.,not_operationalizable,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2202_14025v1_legacy_claim15,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,unclear,"Metric may be measurable, but quantitative operational definition is not explicit.",pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,borderline,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2202_14025v1_legacy_claim16,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",fail,Compared objects are not both publicly identifiable from the worksheet/formalization.,pass,Five-tuple fields are present and directional with no obvious composite metric.,unclear,"Metric may be measurable, but quantitative operational definition is not explicit.",unclear,Compared objects are identifiable but not concrete named implementations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2202_14025v1_legacy_claim17,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,unclear,Hardware/noise language appears in the claim context; simulator-only computability needs confirmation.,pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,unclear,"Metric may be measurable, but quantitative operational definition is not explicit.",pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2202_14025v1_legacy_claim18,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,unclear,"Metric may be measurable, but quantitative operational definition is not explicit.",pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,borderline,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2202_14025v1_legacy_claim19,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",fail,At least one compared baseline is a vague class rather than a publicly identifiable implementation.,fail,Metric is mixed/composite rather than a single audit metric.,pass,Metric is numerical or directly measurable.,fail,Compared objects include vague buckets such as other/conventional/prior/classical methods.,pass,Specific problem instance or family is identifiable.,not_operationalizable,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2202_14025v1_legacy_claim20,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",fail,At least one compared baseline is a vague class rather than a publicly identifiable implementation.,fail,Compared object specification is too vague for unambiguous five-tuple audit.,pass,Metric is numerical or directly measurable.,fail,Compared objects include vague buckets such as other/conventional/prior/classical methods.,pass,Specific problem instance or family is identifiable.,not_operationalizable,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2202_14025v1_legacy_claim21,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",fail,At least one compared baseline is a vague class rather than a publicly identifiable implementation.,fail,Compared object specification is too vague for unambiguous five-tuple audit.,unclear,"Metric may be measurable, but quantitative operational definition is not explicit.",fail,Compared objects include vague buckets such as other/conventional/prior/classical methods.,pass,Specific problem instance or family is identifiable.,not_operationalizable,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2202_14025v1_legacy_claim22,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,operationalizable,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",audit_eligible_operationalizable,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2202_14025v1_legacy_claim24,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",fail,Compared objects are not both publicly identifiable from the worksheet/formalization.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,unclear,Compared objects are identifiable but not concrete named implementations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2410_15626v1_legacy_claim1,2410.15626v1,variational,HIGH,fail,No public code repository or archived artifact was identifiable in paper text.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",fail,Compared objects are not both publicly identifiable from the worksheet/formalization.,pass,Five-tuple fields are present and directional with no obvious composite metric.,unclear,"Metric may be measurable, but quantitative operational definition is not explicit.",unclear,Compared objects are identifiable but not concrete named implementations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,Repo evidence sample: [],not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2410_15626v1_legacy_claim2,2410.15626v1,variational,HIGH,fail,No public code repository or archived artifact was identifiable in paper text.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,unclear,"Metric may be measurable, but quantitative operational definition is not explicit.",pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,Repo evidence sample: [],not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2410_15626v1_legacy_claim3,2410.15626v1,variational,HIGH,fail,No public code repository or archived artifact was identifiable in paper text.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",fail,Compared objects are not both publicly identifiable from the worksheet/formalization.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,unclear,Compared objects are identifiable but not concrete named implementations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,Repo evidence sample: [],not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2410_15626v1_legacy_claim4,2410.15626v1,variational,HIGH,fail,No public code repository or archived artifact was identifiable in paper text.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",fail,Compared objects are not both publicly identifiable from the worksheet/formalization.,pass,Five-tuple fields are present and directional with no obvious composite metric.,unclear,"Metric may be measurable, but quantitative operational definition is not explicit.",unclear,Compared objects are identifiable but not concrete named implementations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,Repo evidence sample: [],not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2410_15626v1_legacy_claim5,2410.15626v1,variational,HIGH,fail,No public code repository or archived artifact was identifiable in paper text.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,Repo evidence sample: [],not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2108_11874v1_legacy_claim1,2108.11874v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",fail,At least one compared baseline is a vague class rather than a publicly identifiable implementation.,fail,Metric is mixed/composite rather than a single audit metric.,pass,Metric is numerical or directly measurable.,fail,Compared objects include vague buckets such as other/conventional/prior/classical methods.,pass,Specific problem instance or family is identifiable.,not_operationalizable,"Repo evidence sample: ['https://doi.org/10.5281/zenodo.3832121', 'https://github.com/qis-unipr/noise-adaptive-compiler']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2108_11874v1_legacy_claim2,2108.11874v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",fail,At least one compared baseline is a vague class rather than a publicly identifiable implementation.,fail,Compared object specification is too vague for unambiguous five-tuple audit.,pass,Metric is numerical or directly measurable.,fail,Compared objects include vague buckets such as other/conventional/prior/classical methods.,pass,Specific problem instance or family is identifiable.,not_operationalizable,"Repo evidence sample: ['https://doi.org/10.5281/zenodo.3832121', 'https://github.com/qis-unipr/noise-adaptive-compiler']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2108_11874v1_legacy_claim4,2108.11874v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",fail,At least one compared baseline is a vague class rather than a publicly identifiable implementation.,fail,Compared object specification is too vague for unambiguous five-tuple audit.,pass,Metric is numerical or directly measurable.,fail,Compared objects include vague buckets such as other/conventional/prior/classical methods.,pass,Specific problem instance or family is identifiable.,not_operationalizable,"Repo evidence sample: ['https://doi.org/10.5281/zenodo.3832121', 'https://github.com/qis-unipr/noise-adaptive-compiler']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2304_08814v2_claim1,2304.08814v2,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",fail,Compared objects are not both publicly identifiable from the worksheet/formalization.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,unclear,Compared objects are identifiable but not concrete named implementations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,"Repo evidence sample: ['https://cqcl.github.io/pytket-qiskit/api/index.html#default-compilation', 'https://github.com/Aerylia/pauliopt/tree/paper/reverse-traversal']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2304_08814v2_claim2,2304.08814v2,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",fail,Compared objects are not both publicly identifiable from the worksheet/formalization.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,unclear,Compared objects are identifiable but not concrete named implementations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,"Repo evidence sample: ['https://cqcl.github.io/pytket-qiskit/api/index.html#default-compilation', 'https://github.com/Aerylia/pauliopt/tree/paper/reverse-traversal']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2304_08814v2_claim4,2304.08814v2,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",fail,Compared objects are not both publicly identifiable from the worksheet/formalization.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,unclear,Compared objects are identifiable but not concrete named implementations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,"Repo evidence sample: ['https://cqcl.github.io/pytket-qiskit/api/index.html#default-compilation', 'https://github.com/Aerylia/pauliopt/tree/paper/reverse-traversal']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
