arxiv_id,title,published_date,authors,screening_decision,exclusion_reason,screening_confidence,screening_notes
2304.03829v1,Automated Quantum Oracle Synthesis with a Minimal Number of Qubits,2023-04-07 20:12:13+00:00,redacted_for_anonymous_review,include,,MEDIUM,Abstract indicates an in-scope compilation/transpilation or software-stack comparison on quantitative resource or performance metrics. Kept for full-text claim extraction.
2303.02830v1,ISAAQ: Ising Machine Assisted Quantum Compiler,2023-03-06 01:47:10+00:00,redacted_for_anonymous_review,include,,MEDIUM,Abstract indicates an in-scope compilation/transpilation or software-stack comparison on quantitative resource or performance metrics. Kept for full-text claim extraction.
2211.07685v3,Highly optimized quantum circuits synthesized via data-flow engines,2022-11-14 19:02:21+00:00,redacted_for_anonymous_review,include,,MEDIUM,Abstract indicates an in-scope compilation/transpilation or software-stack comparison on quantitative resource or performance metrics. Kept for full-text claim extraction.
2209.02669v3,Hardware-Conscious Optimization of the Quantum Toffoli Gate,2022-09-06 17:29:22+00:00,redacted_for_anonymous_review,include,,MEDIUM,Abstract indicates an in-scope compilation/transpilation or software-stack comparison on quantitative resource or performance metrics. Kept for full-text claim extraction.
2206.09938v2,Quantum circuit optimization for multiple QPUs using local structure,2022-06-20 18:01:04+00:00,redacted_for_anonymous_review,include,,MEDIUM,Abstract indicates an in-scope compilation/transpilation or software-stack comparison on quantitative resource or performance metrics. Kept for full-text claim extraction.
2206.06684v1,A Pattern Matching-Based Framework for Quantum Circuit Rewriting,2022-06-14 08:40:06+00:00,redacted_for_anonymous_review,include,,MEDIUM,Abstract indicates an in-scope compilation/transpilation or software-stack comparison on quantitative resource or performance metrics. Kept for full-text claim extraction.
2202.14025v1,Arline Benchmarks: Automated Benchmarking Platform for Quantum Compilers,2022-02-28 18:48:01+00:00,redacted_for_anonymous_review,include,,HIGH,Abstract indicates an in-scope compilation/transpilation or software-stack comparison on quantitative resource or performance metrics. Kept for full-text claim extraction.
2201.06457v1,Decoding techniques applied to the compilation of CNOT circuits for NISQ architectures,2022-01-17 15:11:36+00:00,redacted_for_anonymous_review,include,,MEDIUM,Abstract indicates an in-scope compilation/transpilation or software-stack comparison on quantitative resource or performance metrics. Kept for full-text claim extraction.
2109.07072v2,Qurzon: A Prototype for a Divide and Conquer Based Quantum Compiler,2021-09-15 04:53:04+00:00,redacted_for_anonymous_review,exclude,no_quantitative_claim,LOW,"The topic is close to scope, but the title and abstract do not clearly surface a quantitative A-versus-B claim for screening."
2109.00506v1,Enabling Retargetable Optimizing Compilers for Quantum Accelerators via a Multi-Level Intermediate Representation,2021-09-01 17:29:47+00:00,redacted_for_anonymous_review,exclude,no_quantitative_claim,LOW,"The topic is close to scope, but the title and abstract do not clearly surface a quantitative A-versus-B claim for screening."
2108.11874v1,Noise-Adaptive Quantum Compilation Strategies Evaluated with Application-Motivated Benchmarks,2021-08-26 16:06:00+00:00,redacted_for_anonymous_review,include,,HIGH,Abstract indicates an in-scope compilation/transpilation or software-stack comparison on quantitative resource or performance metrics. Kept for full-text claim extraction.
2108.02099v2,2QAN: A quantum compiler for 2-local qubit Hamiltonian simulation algorithms,2021-08-04 15:03:47+00:00,redacted_for_anonymous_review,include,,MEDIUM,Abstract indicates an in-scope compilation/transpilation or software-stack comparison on quantitative resource or performance metrics. Kept for full-text claim extraction.
2011.04936v1,Scheduling of Operations in Quantum Compiler,2020-11-10 06:32:16+00:00,redacted_for_anonymous_review,exclude,no_quantitative_claim,LOW,"The topic is close to scope, but the title and abstract do not clearly surface a quantitative A-versus-B claim for screening."
2006.04010v2,Random circuit block-encoded matrix and a proposal of quantum LINPACK benchmark,2020-06-07 01:08:50+00:00,redacted_for_anonymous_review,exclude,out_of_scope_paradigm,HIGH,"The paper falls outside the scoped paradigms for this field-study pass, even if it is quantum-software-adjacent."
2004.11205v2,Optimized Quantum Compilation for Near-Term Algorithms with OpenPulse,2020-04-23 14:57:00+00:00,redacted_for_anonymous_review,exclude,pulse_level_only,HIGH,"Abstract centers pulse-level or direct-control optimization, which is outside the scoped compilation and variational-optimization paradigms."
2003.08408v2,Enabling Accuracy-Aware Quantum Compilers using Symbolic Resource Estimation,2020-03-18 18:00:24+00:00,redacted_for_anonymous_review,include,,MEDIUM,Abstract indicates an in-scope compilation/transpilation or software-stack comparison on quantitative resource or performance metrics. Kept for full-text claim extraction.
2304.08814v2,A Comparison of Quantum Compilers using a DAG-based or phase polynomial-based Intermediate Representation,2023-04-18 08:25:47+00:00,redacted_for_anonymous_review,include,,HIGH,Abstract indicates an in-scope compilation/transpilation or software-stack comparison on quantitative resource or performance metrics. Kept for full-text claim extraction.
2008.10790v1,Fibonacci anyons versus Majorana fermions,2020-08-25 02:44:17+00:00,redacted_for_anonymous_review,exclude,out_of_scope_paradigm,HIGH,"The paper falls outside the scoped paradigms for this field-study pass, even if it is quantum-software-adjacent."
2411.16341v1,From CISC to RISC: language-model guided assembly transpilation,2024-11-25 12:37:07+00:00,redacted_for_anonymous_review,exclude,out_of_scope_paradigm,HIGH,"The paper falls outside the scoped paradigms for this field-study pass, even if it is quantum-software-adjacent."
2410.24117v5,AlphaTrans: A Neuro-Symbolic Compositional Approach for Repository-Level Code Translation and Validation,2024-10-31 16:46:52+00:00,redacted_for_anonymous_review,exclude,out_of_scope_paradigm,HIGH,"The paper falls outside the scoped paradigms for this field-study pass, even if it is quantum-software-adjacent."
2406.11771v1,Simon's algorithm in the NISQ cloud,2024-06-17 17:31:44+00:00,redacted_for_anonymous_review,exclude,hardware_only,HIGH,The comparison is primarily hardware- or platform-centric rather than a software-level compilation or variational methodology comparison.
2406.06836v3,"Comparative Study of Quantum Transpilers: Evaluating the Performance of qiskit-braket-provider, qBraid-SDK, and Pytket Extensions",2024-06-10 22:54:15+00:00,redacted_for_anonymous_review,include,,HIGH,Abstract indicates an in-scope compilation/transpilation or software-stack comparison on quantitative resource or performance metrics. Kept for full-text claim extraction.
2406.03003v1,Verified Code Transpilation with Language Models,2024-06-05 07:10:30+00:00,redacted_for_anonymous_review,exclude,out_of_scope_paradigm,HIGH,"The paper falls outside the scoped paradigms for this field-study pass, even if it is quantum-software-adjacent."
2405.01378v2,Benchmarking Quantum Annealers with Near-Optimal Minor-Embedded Instances,2024-05-02 15:19:39+00:00,redacted_for_anonymous_review,exclude,hardware_only,HIGH,The comparison is primarily hardware- or platform-centric rather than a software-level compilation or variational methodology comparison.
2404.18852v2,VERT: Verified Equivalent Rust Transpilation with Large Language Models as Few-Shot Learners,2024-04-29 16:45:03+00:00,redacted_for_anonymous_review,exclude,out_of_scope_paradigm,HIGH,"The paper falls outside the scoped paradigms for this field-study pass, even if it is quantum-software-adjacent."
2312.04392v2,Contextual Subspace Variational Quantum Eigensolver Calculation of the Dissociation Curve of Molecular Nitrogen on a Superconducting Quantum Computer,2023-12-07 16:05:52+00:00,redacted_for_anonymous_review,exclude,application_paper,MEDIUM,This reads as an application/use-case paper for a specific domain problem rather than a general comparative methodology claim in scope.
2308.09453v2,Exploiting the Quantum Advantage for Satellite Image Processing: Review and Assessment,2023-08-18 10:34:34+00:00,redacted_for_anonymous_review,exclude,survey_paper,HIGH,Title and abstract indicate a survey/review rather than a primary empirical comparison paper for the audited corpus.
2306.06755v4,CoTran: A Language-Model-Based Code Translator using Reinforcement Learning with Feedback from Compiler and Symbolic Execution,2023-06-11 19:47:52+00:00,redacted_for_anonymous_review,exclude,out_of_scope_paradigm,HIGH,"The paper falls outside the scoped paradigms for this field-study pass, even if it is quantum-software-adjacent."
2306.00874v1,A general-purpose single-photon-based quantum computing platform,2023-06-01 16:35:55+00:00,redacted_for_anonymous_review,exclude,hardware_only,HIGH,The comparison is primarily hardware- or platform-centric rather than a software-level compilation or variational methodology comparison.
2305.07092v1,Benchmarking the Variational Quantum Eigensolver using different quantum hardware,2023-05-11 18:56:07+00:00,redacted_for_anonymous_review,exclude,hardware_only,HIGH,The comparison is primarily hardware- or platform-centric rather than a software-level compilation or variational methodology comparison.
2301.11220v2,User-Customizable Transpilation of Scripting Languages,2023-01-26 16:55:41+00:00,redacted_for_anonymous_review,exclude,out_of_scope_paradigm,HIGH,"The paper falls outside the scoped paradigms for this field-study pass, even if it is quantum-software-adjacent."
2210.14868v3,Multi-lingual Evaluation of Code Generation Models,2022-10-26 17:17:06+00:00,redacted_for_anonymous_review,exclude,out_of_scope_paradigm,HIGH,"The paper falls outside the scoped paradigms for this field-study pass, even if it is quantum-software-adjacent."
2207.00257v1,High-Performance GPU-to-CPU Transpilation and Optimization via High-Level Parallel Constructs,2022-07-01 08:20:50+00:00,redacted_for_anonymous_review,exclude,out_of_scope_paradigm,HIGH,"The paper falls outside the scoped paradigms for this field-study pass, even if it is quantum-software-adjacent."
2110.00592v2,Nuwa: A Quantum Circuit Transpiler Based on a Finite-Horizon Heuristic for Placement and Routing,2021-10-01 18:01:17+00:00,redacted_for_anonymous_review,include,,HIGH,Abstract indicates an in-scope compilation/transpilation or software-stack comparison on quantitative resource or performance metrics. Kept for full-text claim extraction.
2105.12326v2,Model Checking Finite-Horizon Markov Chains with Probabilistic Inference,2021-05-26 04:54:31+00:00,redacted_for_anonymous_review,exclude,out_of_scope_paradigm,HIGH,"The paper falls outside the scoped paradigms for this field-study pass, even if it is quantum-software-adjacent."
2011.12191v4,Reducing the CNOT count for Clifford+T circuits on NISQ architectures,2020-11-24 16:35:05+00:00,redacted_for_anonymous_review,include,,MEDIUM,Abstract indicates an in-scope compilation/transpilation or software-stack comparison on quantitative resource or performance metrics. Kept for full-text claim extraction.
2007.08532v2,Experimental implementation of non-Clifford interleaved randomized benchmarking with a controlled-S gate,2020-07-16 18:00:02+00:00,redacted_for_anonymous_review,exclude,hardware_only,HIGH,The comparison is primarily hardware- or platform-centric rather than a software-level compilation or variational methodology comparison.
2409.18963v3,Transpiling quantum assembly language circuits to a qudit form,2024-09-27 17:59:56+00:00,redacted_for_anonymous_review,include,,MEDIUM,"Abstract indicates an in-scope variational-optimization comparison or benchmark on algorithms, encodings, ansatzes, optimizers, or performance metrics. Kept for full-text claim extraction."
2309.15994v1,Multi-mode Cavity Centric Architectures for Quantum Simulation,2023-09-27 20:16:44+00:00,redacted_for_anonymous_review,exclude,hardware_only,HIGH,The comparison is primarily hardware- or platform-centric rather than a software-level compilation or variational methodology comparison.
2111.04384v3,Efficient realization of quantum algorithms with qudits,2021-11-08 11:09:37+00:00,redacted_for_anonymous_review,exclude,out_of_scope_paradigm,HIGH,"The paper falls outside the scoped paradigms for this field-study pass, even if it is quantum-software-adjacent."
2108.00857v1,"Recent advances in ADL, CutLang and adl2tnm",2021-07-28 09:19:22+00:00,redacted_for_anonymous_review,exclude,out_of_scope_paradigm,HIGH,"The paper falls outside the scoped paradigms for this field-study pass, even if it is quantum-software-adjacent."
2005.12474v1,Experimental evaluation of quantum Bayesian networks on IBM QX hardware,2020-05-26 01:25:39+00:00,redacted_for_anonymous_review,exclude,out_of_scope_paradigm,HIGH,"The paper falls outside the scoped paradigms for this field-study pass, even if it is quantum-software-adjacent."
2411.19388v1,Limitations of Quantum Approximate Optimization in Solving Generic Higher-Order Constraint-Satisfaction Problems,2024-11-28 21:39:58+00:00,redacted_for_anonymous_review,include,,HIGH,"Abstract indicates an in-scope variational-optimization comparison or benchmark on algorithms, encodings, ansatzes, optimizers, or performance metrics. Kept for full-text claim extraction."
2411.12608v4,Exploring the Potential of Quantum Approximate Optimization Algorithm in Tackling the Perfect Domination Problem,2024-11-19 16:12:36+00:00,redacted_for_anonymous_review,exclude,application_paper,MEDIUM,This reads as an application/use-case paper for a specific domain problem rather than a general comparative methodology claim in scope.
2411.04979v2,Quantum speedups in solving near-symmetric optimization problems by low-depth QAOA,2024-11-07 18:51:44+00:00,redacted_for_anonymous_review,exclude,algorithm_complexity_only,MEDIUM,The abstract is primarily theoretical/proof-oriented and does not expose an empirical comparative benchmark strongly enough for inclusion.
2411.00518v2,Quantum tree generator improves QAOA state-of-the-art for the knapsack problem,2024-11-01 11:37:07+00:00,redacted_for_anonymous_review,include,,MEDIUM,"Abstract indicates an in-scope variational-optimization comparison or benchmark on algorithms, encodings, ansatzes, optimizers, or performance metrics. Kept for full-text claim extraction."
2410.22247v2,Automorphism-Assisted Quantum Approximate Optimization Algorithm for efficient graph optimization,2024-10-29 17:10:25+00:00,redacted_for_anonymous_review,include,,LOW,"Abstract suggests an in-scope variational/QAOA/VQE comparison, but the exact benchmarked claim remains somewhat implicit. Kept for full-text confirmation."
2410.15626v1,Hybrid Quantum-HPC Solutions for Max-Cut: Bridging Classical and Quantum Algorithms,2024-10-21 04:10:54+00:00,redacted_for_anonymous_review,include,,HIGH,"Abstract indicates an in-scope variational-optimization comparison or benchmark on algorithms, encodings, ansatzes, optimizers, or performance metrics. Kept for full-text claim extraction."
2410.07674v1,Inequality constraints in variational quantum circuits with qudits,2024-10-10 07:32:38+00:00,redacted_for_anonymous_review,include,,LOW,"Abstract suggests an in-scope variational/QAOA/VQE comparison, but the exact benchmarked claim remains somewhat implicit. Kept for full-text confirmation."
2409.19820v1,Qompose: A Technique to Select Optimal Algorithm- Specific Layout for Neutral Atom Quantum Architectures,2024-09-29 23:03:08+00:00,redacted_for_anonymous_review,include,,MEDIUM,Abstract indicates an in-scope compilation/transpilation or software-stack comparison on quantitative resource or performance metrics. Kept for full-text claim extraction.
2409.15055v2,Efficient Large-Scale Quantum Optimization via Counterdiabatic Ansatz,2024-09-23 14:31:56+00:00,redacted_for_anonymous_review,include,,MEDIUM,Abstract indicates an in-scope compilation/transpilation or software-stack comparison on quantitative resource or performance metrics. Kept for full-text claim extraction.
2409.14786v3,Performance of Parity QAOA for the Signed Max-Cut Problem,2024-09-23 08:00:03+00:00,redacted_for_anonymous_review,include,,HIGH,"Abstract indicates an in-scope variational-optimization comparison or benchmark on algorithms, encodings, ansatzes, optimizers, or performance metrics. Kept for full-text claim extraction."
2409.10739v3,Evolving a multi-population evolutionary-QAOA on distributed QPUs,2024-09-16 21:16:51+00:00,redacted_for_anonymous_review,include,,HIGH,"Abstract indicates an in-scope variational-optimization comparison or benchmark on algorithms, encodings, ansatzes, optimizers, or performance metrics. Kept for full-text claim extraction."
2409.02063v1,Comparison of Superconducting NISQ Architectures,2024-09-03 17:12:08+00:00,redacted_for_anonymous_review,exclude,hardware_only,HIGH,The comparison is primarily hardware- or platform-centric rather than a software-level compilation or variational methodology comparison.
2408.13316v2,QuCLEAR: Clifford Extraction and Absorption for Quantum Circuit Optimization,2024-08-23 18:03:57+00:00,redacted_for_anonymous_review,include,,LOW,"Abstract suggests an in-scope compilation/transpilation claim, but the exact quantitative comparator is not fully explicit at title/abstract level. Kept for full-text confirmation."
2408.09538v1,Parameter Setting Heuristics Make the Quantum Approximate Optimization Algorithm Suitable for the Early Fault-Tolerant Era,2024-08-18 16:48:14+00:00,redacted_for_anonymous_review,include,,MEDIUM,"Abstract indicates an in-scope variational-optimization comparison or benchmark on algorithms, encodings, ansatzes, optimizers, or performance metrics. Kept for full-text claim extraction."
2408.08365v1,Coqa: Blazing Fast Compiler Optimizations for QAOA,2024-08-15 18:12:04+00:00,redacted_for_anonymous_review,include,,HIGH,Abstract indicates an in-scope compilation/transpilation or software-stack comparison on quantitative resource or performance metrics. Kept for full-text claim extraction.
2407.19857v1,PO-QA: A Framework for Portfolio Optimization using Quantum Algorithms,2024-07-29 10:26:28+00:00,redacted_for_anonymous_review,exclude,application_paper,MEDIUM,This reads as an application/use-case paper for a specific domain problem rather than a general comparative methodology claim in scope.
2407.17325v2,Noise-Aware Distributed Quantum Approximate Optimization Algorithm on Near-term Quantum Hardware,2024-07-24 14:50:01+00:00,redacted_for_anonymous_review,include,,MEDIUM,"Abstract indicates an in-scope variational-optimization comparison or benchmark on algorithms, encodings, ansatzes, optimizers, or performance metrics. Kept for full-text claim extraction."
2407.13012v2,CUAOA: A Novel CUDA-Accelerated Simulation Framework for the QAOA,2024-07-17 21:06:18+00:00,redacted_for_anonymous_review,exclude,out_of_scope_paradigm,HIGH,"The paper falls outside the scoped paradigms for this field-study pass, even if it is quantum-software-adjacent."
2407.01975v2,Imposing Constraints on Driver Hamiltonians and Mixing Operators: From Theory to Practical Implementation,2024-07-02 06:23:02+00:00,redacted_for_anonymous_review,include,,LOW,"Abstract suggests an in-scope variational/QAOA/VQE comparison, but the exact benchmarked claim remains somewhat implicit. Kept for full-text confirmation."
2406.05015v3,Quantum Alternating Operator Ansatz for the Preparation and Detection of Long-Lived Singlet States in NMR,2024-06-07 15:29:40+00:00,redacted_for_anonymous_review,exclude,out_of_scope_paradigm,HIGH,"The paper falls outside the scoped paradigms for this field-study pass, even if it is quantum-software-adjacent."
2405.20173v2,Eclipse Qrisp QAOA: description and preliminary comparison with Qiskit counterparts,2024-05-30 15:44:28+00:00,redacted_for_anonymous_review,include,,HIGH,"Abstract indicates an in-scope variational-optimization comparison or benchmark on algorithms, encodings, ansatzes, optimizers, or performance metrics. Kept for full-text claim extraction."
2405.15707v2,Digitized Counterdiabatic Quantum Algorithms for Logistics Scheduling,2024-05-24 16:53:30+00:00,redacted_for_anonymous_review,exclude,application_paper,MEDIUM,This reads as an application/use-case paper for a specific domain problem rather than a general comparative methodology claim in scope.
2405.14405v1,Qubit-efficient Variational Quantum Algorithms for Image Segmentation,2024-05-23 10:21:57+00:00,redacted_for_anonymous_review,exclude,application_paper,MEDIUM,This reads as an application/use-case paper for a specific domain problem rather than a general comparative methodology claim in scope.
2405.11917v2,Demonstrating Quantum Scaling Advantage in Approximate Optimization for Energy Coalition Formation with 100+ Agents,2024-05-20 09:55:20+00:00,redacted_for_anonymous_review,include,,MEDIUM,"Abstract indicates an in-scope variational-optimization comparison or benchmark on algorithms, encodings, ansatzes, optimizers, or performance metrics. Kept for full-text claim extraction."
2405.07624v1,Towards Robust Benchmarking of Quantum Optimization Algorithms,2024-05-13 10:35:23+00:00,redacted_for_anonymous_review,include,,HIGH,"Abstract indicates an in-scope variational-optimization comparison or benchmark on algorithms, encodings, ansatzes, optimizers, or performance metrics. Kept for full-text claim extraction."
2404.17242v2,Quantum and classical correlations in shrinking algorithms for optimization,2024-04-26 08:29:04+00:00,redacted_for_anonymous_review,include,,MEDIUM,"Abstract indicates an in-scope variational-optimization comparison or benchmark on algorithms, encodings, ansatzes, optimizers, or performance metrics. Kept for full-text claim extraction."
2404.14101v1,Efficient molecular conformation generation with quantum-inspired algorithm,2024-04-22 11:40:08+00:00,redacted_for_anonymous_review,exclude,application_paper,MEDIUM,This reads as an application/use-case paper for a specific domain problem rather than a general comparative methodology claim in scope.
2404.13971v1,HamilToniQ: An Open-Source Benchmark Toolkit for Quantum Computers,2024-04-22 08:27:14+00:00,redacted_for_anonymous_review,exclude,hardware_only,HIGH,The comparison is primarily hardware- or platform-centric rather than a software-level compilation or variational methodology comparison.
2404.11440v1,Solving Power Grid Optimization Problems with Rydberg Atoms,2024-04-17 14:49:21+00:00,redacted_for_anonymous_review,exclude,application_paper,MEDIUM,This reads as an application/use-case paper for a specific domain problem rather than a general comparative methodology claim in scope.
2404.07171v1,Unlocking Quantum Optimization: A Use Case Study on NISQ Systems,2024-04-10 17:08:07+00:00,redacted_for_anonymous_review,exclude,application_paper,MEDIUM,This reads as an application/use-case paper for a specific domain problem rather than a general comparative methodology claim in scope.
2403.18395v2,Effective Embedding of Integer Linear Inequalities for Variational Quantum Algorithms,2024-03-27 09:32:26+00:00,redacted_for_anonymous_review,include,,LOW,"Abstract suggests an in-scope variational/QAOA/VQE comparison, but the exact benchmarked claim remains somewhat implicit. Kept for full-text confirmation."
2403.02512v1,Hybrid quantum programming with PennyLane Lightning on HPC platforms,2024-03-04 22:01:03+00:00,redacted_for_anonymous_review,exclude,out_of_scope_paradigm,HIGH,"The paper falls outside the scoped paradigms for this field-study pass, even if it is quantum-software-adjacent."
2403.02045v3,Recursive Quantum Relaxation for Combinatorial Optimization Problems,2024-03-04 13:48:21+00:00,redacted_for_anonymous_review,include,,LOW,"Abstract suggests an in-scope variational/QAOA/VQE comparison, but the exact benchmarked claim remains somewhat implicit. Kept for full-text confirmation."
2402.02585v1,"Grover-QAOA for 3-SAT: Quadratic Speedup, Fair-Sampling, and Parameter Clustering",2024-02-04 19:01:27+00:00,redacted_for_anonymous_review,include,,MEDIUM,"Abstract indicates an in-scope variational-optimization comparison or benchmark on algorithms, encodings, ansatzes, optimizers, or performance metrics. Kept for full-text claim extraction."
2401.09849v1,Benchmarking hybrid digitized-counterdiabatic quantum optimization,2024-01-18 10:05:07+00:00,redacted_for_anonymous_review,include,,HIGH,"Abstract indicates an in-scope variational-optimization comparison or benchmark on algorithms, encodings, ansatzes, optimizers, or performance metrics. Kept for full-text claim extraction."
2401.02852v1,Quantum Approximate Optimisation for Not-All-Equal SAT,2024-01-05 15:11:24+00:00,redacted_for_anonymous_review,include,,LOW,"Abstract suggests an in-scope variational/QAOA/VQE comparison, but the exact benchmarked claim remains somewhat implicit. Kept for full-text confirmation."
2311.12732v2,Tight Lieb-Robinson Bound for approximation ratio in Quantum Annealing,2023-11-21 17:15:21+00:00,redacted_for_anonymous_review,exclude,algorithm_complexity_only,MEDIUM,The abstract is primarily theoretical/proof-oriented and does not expose an empirical comparative benchmark strongly enough for inclusion.
2311.02151v2,Vanishing performance of the parity-encoded quantum approximate optimization algorithm applied to spin-glass models,2023-11-03 18:00:00+00:00,redacted_for_anonymous_review,include,,HIGH,"Abstract indicates an in-scope variational-optimization comparison or benchmark on algorithms, encodings, ansatzes, optimizers, or performance metrics. Kept for full-text claim extraction."
2309.16796v3,Benchmarking Metaheuristic-Integrated QAOA against Quantum Annealing,2023-09-28 18:55:22+00:00,redacted_for_anonymous_review,include,,HIGH,"Abstract indicates an in-scope variational-optimization comparison or benchmark on algorithms, encodings, ansatzes, optimizers, or performance metrics. Kept for full-text claim extraction."
2309.00047v1,Dynamic-ADAPT-QAOA: An algorithm with shallow and noise-resilient circuits,2023-08-31 18:00:02+00:00,redacted_for_anonymous_review,include,,MEDIUM,Abstract indicates an in-scope compilation/transpilation or software-stack comparison on quantitative resource or performance metrics. Kept for full-text claim extraction.
2308.10383v2,A Variational Qubit-Efficient MaxCut Heuristic Algorithm,2023-08-20 23:06:18+00:00,redacted_for_anonymous_review,include,,LOW,"Abstract suggests an in-scope variational/QAOA/VQE comparison, but the exact benchmarked claim remains somewhat implicit. Kept for full-text confirmation."
2308.01789v1,Benchmarking Adaptative Variational Quantum Algorithms on QUBO Instances,2023-08-03 14:39:02+00:00,redacted_for_anonymous_review,include,,HIGH,"Abstract indicates an in-scope variational-optimization comparison or benchmark on algorithms, encodings, ansatzes, optimizers, or performance metrics. Kept for full-text claim extraction."
2307.07193v3,Exponential Qubit Reduction in Optimization for Financial Transaction Settlement,2023-07-14 06:58:43+00:00,redacted_for_anonymous_review,include,,LOW,"Abstract suggests an in-scope variational/QAOA/VQE comparison, but the exact benchmarked claim remains somewhat implicit. Kept for full-text confirmation."
2306.04797v2,Simulating quantum circuit expectation values by Clifford perturbation theory,2023-06-07 21:42:10+00:00,redacted_for_anonymous_review,exclude,out_of_scope_paradigm,HIGH,"The paper falls outside the scoped paradigms for this field-study pass, even if it is quantum-software-adjacent."
2305.03828v2,A Race Track Trapped-Ion Quantum Processor,2023-05-05 20:07:37+00:00,redacted_for_anonymous_review,exclude,hardware_only,HIGH,The comparison is primarily hardware- or platform-centric rather than a software-level compilation or variational methodology comparison.
2305.03390v1,Evidence that PUBO outperforms QUBO when solving continuous optimization problems with the QAOA,2023-05-05 09:37:48+00:00,redacted_for_anonymous_review,include,,HIGH,"Abstract indicates an in-scope variational-optimization comparison or benchmark on algorithms, encodings, ansatzes, optimizers, or performance metrics. Kept for full-text claim extraction."
2304.07218v1,QuACS: Variational Quantum Algorithm for Coalition Structure Generation in Induced Subgraph Games,2023-04-14 16:01:27+00:00,redacted_for_anonymous_review,exclude,application_paper,MEDIUM,This reads as an application/use-case paper for a specific domain problem rather than a general comparative methodology claim in scope.
2303.01450v1,Q-Profile: Profiling Tool for Quantum Control Stacks applied to the Quantum Approximate Optimization Algorithm,2023-03-02 18:08:01+00:00,redacted_for_anonymous_review,exclude,out_of_scope_paradigm,HIGH,"The paper falls outside the scoped paradigms for this field-study pass, even if it is quantum-software-adjacent."
2303.00329v2,Mean-Field Approximate Optimization Algorithm,2023-03-01 08:47:06+00:00,redacted_for_anonymous_review,include,,LOW,"Abstract suggests an in-scope variational/QAOA/VQE comparison, but the exact benchmarked claim remains somewhat implicit. Kept for full-text confirmation."
2302.04479v2,An Expressive Ansatz for Low-Depth Quantum Approximate Optimisation,2023-02-09 07:47:06+00:00,redacted_for_anonymous_review,include,,LOW,"Abstract suggests an in-scope variational/QAOA/VQE comparison, but the exact benchmarked claim remains somewhat implicit. Kept for full-text confirmation."
2302.02278v2,Optimization Applications as Quantum Performance Benchmarks,2023-02-05 01:56:06+00:00,redacted_for_anonymous_review,include,,HIGH,"Abstract indicates an in-scope variational-optimization comparison or benchmark on algorithms, encodings, ansatzes, optimizers, or performance metrics. Kept for full-text claim extraction."
