record_id,claim_id,paper_id,source_file_key,scalar_directional_planning_record,manuscript_group,proxy_free_exact_status,auditable_design_status,barrier_scope,primary_barrier,secondary_barriers,barrier_source_file,barrier_source_column,barrier_source_value,derivation_note,adjudicated,notes,second_author_checked,second_author_check_scope,second_author_group_agreement,second_author_barrier_agreement,second_author_comment,adjudication_after_second_check
ext_2409_14786v3_claim6,ext_2409_14786v3_claim6,2409.14786v3,relation_schema_rq1_flags.csv,true,auditable_non_exact,false,source_supported_extension,"auditable only via source-supported extension, not an exact proxy-free source comparison",diagnostic_or_extension_not_exact_source_comparison,artifact;hyperparameters;instance_generator;optimizer;resource_budget,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=source_supported_extension; missing=relation; blocker=env/needs-build | missing_elements=artifact;hyperparameters;instance_generator;optimizer;resource_budget; tier(internal)=T3,In manuscript 53 auditable designs (non-exact). Registry design_type=source_supported_extension.,true,artifact_internal_tier=T3 (supporting only; not a manuscript group),true,sampled_extension,agree,agree,extension design consistent with barrier source fields,unchanged
ext_2409_14786v3_claim8,ext_2409_14786v3_claim8,2409.14786v3,relation_schema_rq1_flags.csv,true,auditable_non_exact,false,source_supported_extension,"auditable only via source-supported extension, not an exact proxy-free source comparison",diagnostic_or_extension_not_exact_source_comparison,artifact;hyperparameters;instance_generator;optimizer;resource_budget,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=source_supported_extension; missing=relation; blocker=env/needs-build | missing_elements=artifact;hyperparameters;instance_generator;optimizer;resource_budget; tier(internal)=T3,In manuscript 53 auditable designs (non-exact). Registry design_type=source_supported_extension.,true,artifact_internal_tier=T3 (supporting only; not a manuscript group),true,sampled_extension,agree,agree,extension design consistent with barrier source fields,unchanged
ext_2407_01010v2_claim1,ext_2407_01010v2_claim1,2407.01010v2,relation_schema_rq1_flags.csv,true,auditable_non_exact,false,source_supported_extension,"auditable only via source-supported extension, not an exact proxy-free source comparison",diagnostic_or_extension_not_exact_source_comparison,artifact;baseline;hyperparameters;other,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=source_supported_extension; missing=source_rows; blocker=none | missing_elements=artifact;baseline;hyperparameters;other; tier(internal)=T3,In manuscript 53 auditable designs (non-exact). Registry design_type=source_supported_extension.,true,artifact_internal_tier=T3 (supporting only; not a manuscript group),true,sampled_extension,agree,agree,extension design consistent with barrier source fields,unchanged
ext_2407_01010v2_claim3,ext_2407_01010v2_claim3,2407.01010v2,relation_schema_rq1_flags.csv,true,auditable_non_exact,false,source_supported_extension,"auditable only via source-supported extension, not an exact proxy-free source comparison",diagnostic_or_extension_not_exact_source_comparison,artifact;baseline;hyperparameters;other,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=source_supported_extension; missing=source_rows; blocker=env/needs-build | missing_elements=artifact;baseline;hyperparameters;other; tier(internal)=T3,In manuscript 53 auditable designs (non-exact). Registry design_type=source_supported_extension.,true,artifact_internal_tier=T3 (supporting only; not a manuscript group),true,sampled_extension,agree,agree,extension design consistent with barrier source fields,unchanged
ext_2406_06836v3_claim2,ext_2406_06836v3_claim2,2406.06836v3,relation_schema_rq1_flags.csv,true,no_design_or_boundary,false,relation_specific_not_in_53,only a relation-specific source-rule design is lockable; excluded from manuscript 53 (exact+source-materialized+extension),relation_specific_source_rule_only,artifact;hyperparameters;instance_generator;resource_budget,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=relation_specific; missing=runtime_environment; blocker=environment | missing_elements=artifact;hyperparameters;instance_generator;resource_budget; tier(internal)=T3,"Relation-specific design mode; EXCLUDED from manuscript-facing 53 auditable designs (53 = exact + source-materialized + source-supported-extension only), so counted as no_design_or_boundary. 20 of 21 relation_specific land here; the 1 source-materialized SD claim is in auditable_non_exact.",true,artifact_internal_tier=T3 (supporting only; not a manuscript group),true,targeted_boundary,agree,agree,boundary decision consistent with source evidence,unchanged
ext_2311_15123v3_claim5,ext_2311_15123v3_claim5,2311.15123v3,relation_schema_rq1_flags.csv,true,no_design_or_boundary,false,relation_specific_not_in_53,only a relation-specific source-rule design is lockable; excluded from manuscript 53 (exact+source-materialized+extension),relation_specific_source_rule_only,artifact;baseline;data;metric,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=relation_specific; missing=env+methodology; blocker=env+methodology | missing_elements=artifact;baseline;data;metric; tier(internal)=T4,"Relation-specific design mode; EXCLUDED from manuscript-facing 53 auditable designs (53 = exact + source-materialized + source-supported-extension only), so counted as no_design_or_boundary. 20 of 21 relation_specific land here; the 1 source-materialized SD claim is in auditable_non_exact.",true,artifact_internal_tier=T4 (supporting only; not a manuscript group),true,targeted_boundary,agree,agree,boundary decision consistent with source evidence,unchanged
ext_2411_00518v2_claim1,ext_2411_00518v2_claim1,2411.00518v2,relation_schema_rq1_flags.csv,true,proxy_free_exact,true,exact,none,none,none,artifact/screening_drop_78_materialization_boundary.csv,exact_proxy_free_yes_no,yes (EX-C Tier-1 proxy-free scoped S/U/R card),screening_drop_78 exact_proxy_free_yes_no=yes; EX-C Tier-1 proxy-free scoped S/U/R card.,true,,false,not_checked,not_checked,not_checked,,not_checked
ext_2110_00592v2_claim1,ext_2110_00592v2_claim1,2110.00592v2,relation_schema_rq1_flags.csv,true,no_design_or_boundary,false,no_lockable_design,no lockable auditable design; earliest blocking missing-evidence element,comparator_or_baseline_not_lockable,baseline;artifact;instance_generator;data,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=none; missing=baseline_implementation; blocker=reporting/environment | missing_elements=baseline;artifact;instance_generator;data; tier(internal)=T4,No lockable auditable design (boundary); primary barrier mapped from recorded blocker.,true,artifact_internal_tier=T4 (supporting only; not a manuscript group),true,targeted_boundary,agree,agree,boundary decision consistent with source evidence,unchanged
ext_2110_00592v2_claim2,ext_2110_00592v2_claim2,2110.00592v2,relation_schema_rq1_flags.csv,true,no_design_or_boundary,false,no_lockable_design,no lockable auditable design; earliest blocking missing-evidence element,timing_or_host_protocol_missing,baseline;artifact;instance_generator;data,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=none; missing=reporting/environment; blocker=reporting/environment | missing_elements=baseline;artifact;instance_generator;data; tier(internal)=T4,No lockable auditable design (boundary); primary barrier mapped from recorded blocker.,true,artifact_internal_tier=T4 (supporting only; not a manuscript group),true,targeted_boundary,agree,agree,boundary decision consistent with source evidence,unchanged
ext_2110_00592v2_claim3,ext_2110_00592v2_claim3,2110.00592v2,relation_schema_rq1_flags.csv,true,auditable_non_exact,false,source_supported_extension,"auditable only via source-supported extension, not an exact proxy-free source comparison",diagnostic_or_extension_not_exact_source_comparison,baseline;artifact;instance_generator;data,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=source_supported_extension; missing=reporting/environment; blocker=reporting/environment | missing_elements=baseline;artifact;instance_generator;data; tier(internal)=T4,In manuscript 53 auditable designs (non-exact). Registry design_type=source_supported_extension.,true,artifact_internal_tier=T4 (supporting only; not a manuscript group),true,sampled_extension,agree,agree,extension design consistent with barrier source fields,unchanged
ext_2405_20173v2_claim2,ext_2405_20173v2_claim2,2405.20173v2,relation_schema_rq1_flags.csv,true,auditable_non_exact,false,source_supported_extension,"auditable only via source-supported extension, not an exact proxy-free source comparison",diagnostic_or_extension_not_exact_source_comparison,artifact;hyperparameters;instance_generator;optimizer;other;resource_budget,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=source_supported_extension; missing=source_rows; blocker=reporting | missing_elements=artifact;hyperparameters;instance_generator;optimizer;other;resource_budget; tier(internal)=T3,In manuscript 53 auditable designs (non-exact). Registry design_type=source_supported_extension.,true,artifact_internal_tier=T3 (supporting only; not a manuscript group),true,sampled_extension,agree,agree,extension design consistent with barrier source fields,unchanged
ext_2303_02830v1_claim1,ext_2303_02830v1_claim1,2303.02830v1,relation_schema_rq1_flags.csv,true,no_design_or_boundary,false,no_lockable_design,no lockable auditable design; earliest blocking missing-evidence element,timing_or_host_protocol_missing,artifact;baseline;hyperparameters;other,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=none; missing=environment; blocker=environment | missing_elements=artifact;baseline;hyperparameters;other; tier(internal)=T3,No lockable auditable design (boundary); primary barrier mapped from recorded blocker.,true,artifact_internal_tier=T3 (supporting only; not a manuscript group),true,targeted_boundary,agree,agree,boundary decision consistent with source evidence,unchanged
ext_2211_07685v3_claim1,ext_2211_07685v3_claim1,2211.07685v3,relation_schema_rq1_flags.csv,true,no_design_or_boundary,false,relation_specific_not_in_53,only a relation-specific source-rule design is lockable; excluded from manuscript 53 (exact+source-materialized+extension),relation_specific_source_rule_only,artifact;baseline;hyperparameters;other,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=relation_specific; missing=reporting; blocker=reporting | missing_elements=artifact;baseline;hyperparameters;other; tier(internal)=T3,"Relation-specific design mode; EXCLUDED from manuscript-facing 53 auditable designs (53 = exact + source-materialized + source-supported-extension only), so counted as no_design_or_boundary. 20 of 21 relation_specific land here; the 1 source-materialized SD claim is in auditable_non_exact.",true,artifact_internal_tier=T3 (supporting only; not a manuscript group),true,targeted_boundary,agree,agree,boundary decision consistent with source evidence,unchanged
ext_2211_07685v3_claim2,ext_2211_07685v3_claim2,2211.07685v3,relation_schema_rq1_flags.csv,true,no_design_or_boundary,false,relation_specific_not_in_53,only a relation-specific source-rule design is lockable; excluded from manuscript 53 (exact+source-materialized+extension),relation_specific_source_rule_only,artifact;baseline;hyperparameters;other,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=relation_specific; missing=reporting; blocker=reporting | missing_elements=artifact;baseline;hyperparameters;other; tier(internal)=T3,"Relation-specific design mode; EXCLUDED from manuscript-facing 53 auditable designs (53 = exact + source-materialized + source-supported-extension only), so counted as no_design_or_boundary. 20 of 21 relation_specific land here; the 1 source-materialized SD claim is in auditable_non_exact.",true,artifact_internal_tier=T3 (supporting only; not a manuscript group),true,targeted_boundary,agree,agree,boundary decision consistent with source evidence,unchanged
ext_2211_07685v3_claim3,ext_2211_07685v3_claim3,2211.07685v3,relation_schema_rq1_flags.csv,true,auditable_non_exact,false,source_supported_extension,"auditable only via source-supported extension, not an exact proxy-free source comparison",diagnostic_or_extension_not_exact_source_comparison,artifact;baseline;hyperparameters;other,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=source_supported_extension; missing=source_rows; blocker=env/needs-build | missing_elements=artifact;baseline;hyperparameters;other; tier(internal)=T3,In manuscript 53 auditable designs (non-exact). Registry design_type=source_supported_extension.,true,artifact_internal_tier=T3 (supporting only; not a manuscript group),true,sampled_extension,agree,agree,extension design consistent with barrier source fields,unchanged
ext_2211_07685v3_claim4,ext_2211_07685v3_claim4,2211.07685v3,relation_schema_rq1_flags.csv,true,no_design_or_boundary,false,relation_specific_not_in_53,only a relation-specific source-rule design is lockable; excluded from manuscript 53 (exact+source-materialized+extension),relation_specific_source_rule_only,artifact;baseline;hyperparameters;resource_budget,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=relation_specific; missing=env+methodology; blocker=env+methodology | missing_elements=artifact;baseline;hyperparameters;resource_budget; tier(internal)=T3,"Relation-specific design mode; EXCLUDED from manuscript-facing 53 auditable designs (53 = exact + source-materialized + source-supported-extension only), so counted as no_design_or_boundary. 20 of 21 relation_specific land here; the 1 source-materialized SD claim is in auditable_non_exact.",true,artifact_internal_tier=T3 (supporting only; not a manuscript group),true,targeted_boundary,agree,agree,boundary decision consistent with source evidence,unchanged
ext_2209_02669v3_claim1,ext_2209_02669v3_claim1,2209.02669v3,relation_schema_rq1_flags.csv,true,no_design_or_boundary,false,relation_specific_not_in_53,only a relation-specific source-rule design is lockable; excluded from manuscript 53 (exact+source-materialized+extension),relation_specific_source_rule_only,artifact;instance_generator;metric,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=relation_specific; missing=env+methodology; blocker=env+methodology | missing_elements=artifact;instance_generator;metric; tier(internal)=T3,"Relation-specific design mode; EXCLUDED from manuscript-facing 53 auditable designs (53 = exact + source-materialized + source-supported-extension only), so counted as no_design_or_boundary. 20 of 21 relation_specific land here; the 1 source-materialized SD claim is in auditable_non_exact.",true,artifact_internal_tier=T3 (supporting only; not a manuscript group),true,targeted_boundary,agree,agree,boundary decision consistent with source evidence,unchanged
ext_2209_02669v3_claim2,ext_2209_02669v3_claim2,2209.02669v3,relation_schema_rq1_flags.csv,true,no_design_or_boundary,false,relation_specific_not_in_53,only a relation-specific source-rule design is lockable; excluded from manuscript 53 (exact+source-materialized+extension),relation_specific_source_rule_only,artifact;instance_generator;metric,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=relation_specific; missing=env+methodology; blocker=env+methodology | missing_elements=artifact;instance_generator;metric; tier(internal)=T3,"Relation-specific design mode; EXCLUDED from manuscript-facing 53 auditable designs (53 = exact + source-materialized + source-supported-extension only), so counted as no_design_or_boundary. 20 of 21 relation_specific land here; the 1 source-materialized SD claim is in auditable_non_exact.",true,artifact_internal_tier=T3 (supporting only; not a manuscript group),true,targeted_boundary,agree,agree,boundary decision consistent with source evidence,unchanged
ext_2206_09938v2_claim2,ext_2206_09938v2_claim2,2206.09938v2,relation_schema_rq1_flags.csv,true,no_design_or_boundary,false,no_lockable_design,no lockable auditable design; earliest blocking missing-evidence element,other_source_specific_convention,artifact;baseline;hyperparameters;other,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=none; missing=reporting; blocker=reporting | missing_elements=artifact;baseline;hyperparameters;other; tier(internal)=T3,No lockable auditable design (boundary); primary barrier mapped from recorded blocker.,true,artifact_internal_tier=T3 (supporting only; not a manuscript group),true,targeted_boundary,agree,agree,boundary decision consistent with source evidence,unchanged
ext_2308_01789v1_claim1,ext_2308_01789v1_claim1,2308.01789v1,relation_schema_rq1_flags.csv,true,auditable_non_exact,false,source_supported_extension,"auditable only via source-supported extension, not an exact proxy-free source comparison",diagnostic_or_extension_not_exact_source_comparison,artifact;hyperparameters;instance_generator;optimizer;other;resource_budget,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=source_supported_extension; missing=source_rows; blocker=env/needs-build | missing_elements=artifact;hyperparameters;instance_generator;optimizer;other;resource_budget; tier(internal)=T3,In manuscript 53 auditable designs (non-exact). Registry design_type=source_supported_extension.,true,artifact_internal_tier=T3 (supporting only; not a manuscript group),false,not_checked,not_checked,not_checked,,not_checked
ext_2308_01789v1_claim2,ext_2308_01789v1_claim2,2308.01789v1,relation_schema_rq1_flags.csv,true,auditable_non_exact,false,source_supported_extension,"auditable only via source-supported extension, not an exact proxy-free source comparison",diagnostic_or_extension_not_exact_source_comparison,artifact;hyperparameters;instance_generator;optimizer;other;resource_budget,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=source_supported_extension; missing=source_rows; blocker=env/needs-build | missing_elements=artifact;hyperparameters;instance_generator;optimizer;other;resource_budget; tier(internal)=T3,In manuscript 53 auditable designs (non-exact). Registry design_type=source_supported_extension.,true,artifact_internal_tier=T3 (supporting only; not a manuscript group),false,not_checked,not_checked,not_checked,,not_checked
ext_2206_06684v1_claim1,ext_2206_06684v1_claim1,2206.06684v1,relation_schema_rq1_flags.csv,true,no_design_or_boundary,false,relation_specific_not_in_53,only a relation-specific source-rule design is lockable; excluded from manuscript 53 (exact+source-materialized+extension),relation_specific_source_rule_only,artifact;baseline;hyperparameters;resource_budget,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=relation_specific; missing=runtime_environment; blocker=environment | missing_elements=artifact;baseline;hyperparameters;resource_budget; tier(internal)=T3,"Relation-specific design mode; EXCLUDED from manuscript-facing 53 auditable designs (53 = exact + source-materialized + source-supported-extension only), so counted as no_design_or_boundary. 20 of 21 relation_specific land here; the 1 source-materialized SD claim is in auditable_non_exact.",true,artifact_internal_tier=T3 (supporting only; not a manuscript group),true,targeted_boundary,agree,agree,boundary decision consistent with source evidence,unchanged
ext_2206_06684v1_claim2,ext_2206_06684v1_claim2,2206.06684v1,relation_schema_rq1_flags.csv,true,auditable_non_exact,false,source_supported_extension,"auditable only via source-supported extension, not an exact proxy-free source comparison",diagnostic_or_extension_not_exact_source_comparison,artifact;baseline;hyperparameters,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=source_supported_extension; missing=source_rows; blocker=env/needs-build | missing_elements=artifact;baseline;hyperparameters; tier(internal)=T3,In manuscript 53 auditable designs (non-exact). Registry design_type=source_supported_extension.,true,artifact_internal_tier=T3 (supporting only; not a manuscript group),false,not_checked,not_checked,not_checked,,not_checked
