claim_id,anonymized_paper_id,source_group,domain_or_paradigm,baselines,metric,asserted_direction,materialization_tier,tier_confidence,completed_external_audit,artifact_status,paper_description_sufficiency,materialization_status,missing_elements,estimated_implementation_effort,include_in_main_audit_if_implemented,paper_use,reason_for_tier,evidence_source,evidence_pointer,notes
ext_2406_06836v3_claim2,P39,P39,transpiler/compiler,qiskit-braket-provider vs qBraid-SDK and pytket extensions,transpilation time,A < B,T3,medium,no,not_provided,partial,high_effort,artifact;hyperparameters;instance_generator;resource_budget,high,no,artifact_only,"The compilation claim needs exact benchmark instances, tool configuration, and a runnable adapter; loose O1 does not establish those execution details. Runtime metrics also require host/environment normalization.",worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2406.06836v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2311_15123v3_claim5,P33,P33,transpiler/compiler,Atomique vs Q-Pilot,overall fidelity,A > B,T4,high,no,not_provided,insufficient,no_go,artifact;baseline;data;metric,no_go,no,excluded,A required comparator or solver stack is not available as a local executable artifact. The metric requires a paper-specific measurement/fidelity model.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2311.15123v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2411_00518v2_claim1,P44,P44,optimization/QAOA,QTG-based AAM-QAOA vs Copula-QAOA,approximation ratio,A > B,T1,high,yes,already_materialized,sufficient,completed,,already_executable,yes,main_external_audit_candidate,Completed as an N=80 external audit with an existing faithful adapter or artifact-backed materialization.,local_adapter,paper/output/figures/section5/external_forest_data.csv (EX-C2 row); paper/output/figures/section5/per_claim_external_audit.csv (EX-C2),Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2110_00592v2_claim1,P13,P13,transpiler/compiler,Nuwa vs tket and SABRE,SWAP gate count,A < B,T4,high,no,not_provided,insufficient,no_go,baseline;artifact;instance_generator;data,no_go,no,excluded,Nuwa is the key comparator and no runnable Nuwa adapter/artifact is materialized locally.,materialization_review,artifact/external_audit/materialization/materialization_tier_report.md: Nuwa rows,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2110_00592v2_claim2,P13,P13,transpiler/compiler,Nuwa vs tket and arct,SWAP gate count,A < B,T4,high,no,not_provided,insufficient,no_go,baseline;artifact;instance_generator;data,no_go,no,excluded,Nuwa and arct are both required; neither is available as a local executable comparator.,materialization_review,artifact/external_audit/materialization/materialization_tier_report.md: Nuwa/arct row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2110_00592v2_claim3,P13,P13,transpiler/compiler,tket vs Nuwa,SWAP gate count,A < B,T4,high,no,not_provided,insufficient,no_go,baseline;artifact;instance_generator;data,no_go,no,excluded,"Nuwa is unavailable, so the tket-vs-Nuwa comparison cannot be materialized without reimplementing the missing comparator.",materialization_review,artifact/external_audit/materialization/materialization_tier_report.md: Nuwa rows,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2405_20173v2_claim2,P38,P38,optimization/QAOA,Eclipse Qrisp QAOA vs Qiskit-Library QAOA and ad-hoc QAOA,circuit depth,A < B,T3,medium,no,available,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;other;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2405.20173v2.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2303_02830v1_claim1,P24,P24,optimization/QAOA,ISAAQ vs Qiskit/tket heuristic methods and existing QUBO method,physical CNOT gate count,A < B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;other,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2303.02830v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2211_07685v3_claim1,P21,P21,transpiler/compiler,SQUANDER vs Qiskit,circuit depth,A < B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;other,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2211.07685v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2211_07685v3_claim2,P21,P21,transpiler/compiler,SQUANDER vs Qiskit,circuit depth,A < B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;other,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2211.07685v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2211_07685v3_claim3,P21,P21,transpiler/compiler,SQUANDER with DFE support vs Qiskit,circuit depth,A < B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;other,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2211.07685v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2211_07685v3_claim4,P21,P21,transpiler/compiler,DFE implementation on FPGA vs CPU implementation,cost-function/gradient evaluation speed,A > B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;resource_budget,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components. Runtime metrics also require host/environment normalization.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2211.07685v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2209_02669v3_claim1,P20,P20,transpiler/compiler,optimized Toffoli implementation vs canonical Toffoli implementation,infidelity,A < B,T3,medium,no,available,partial,high_effort,artifact;instance_generator;metric,high,no,artifact_only,"The compilation claim needs exact benchmark instances, tool configuration, and a runnable adapter; loose O1 does not establish those execution details. The metric requires a paper-specific measurement/fidelity model.",worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2209.02669v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2209_02669v3_claim2,P20,P20,transpiler/compiler,optimized Toffoli gate vs canonical and IBM Qiskit-compiled Toffoli gates,average gate fidelity,A > B,T3,medium,no,available,partial,high_effort,artifact;instance_generator;metric,high,no,artifact_only,"The compilation claim needs exact benchmark instances, tool configuration, and a runnable adapter; loose O1 does not establish those execution details. The metric requires a paper-specific measurement/fidelity model.",worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2209.02669v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2206_09938v2_claim2,P19,P19,transpiler/compiler,MultiQopt/proposed approach vs Qiskit,total two-qubit gate count,A < B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;other,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2206.09938v2.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2308_01789v1_claim1,P28,P28,optimization/QAOA,adaptive VQAs vs QAOA,gate_and_cnot_count,A < B,T3,medium,no,available,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;other;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2308.01789v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2308_01789v1_claim2,P28,P28,optimization/QAOA,VAns vs EVQE/RA-VQE/QAOA,gate_and_cnot_count,A < B,T3,medium,no,available,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;other;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2308.01789v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2206_06684v1_claim1,P18,P18,transpiler/compiler,QRewriting vs PaF,rewriting_runtime,A < B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;resource_budget,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components. Runtime metrics also require host/environment normalization.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2206.06684v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2206_06684v1_claim2,P18,P18,transpiler/compiler,QRewriting vs PaF,depth_and_gate_count_reduction,A > B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2206.06684v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2112_03199v4_claim2,P15,P15,optimization/QAOA,Qiskit Runtime warm-start QAOA vs normal warm-start QAOA,runtime,A < B,T3,medium,no,not_provided,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts. Runtime metrics also require host/environment normalization.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2112.03199v4.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2011_12191v4_claim1,P10,P10,transpiler/compiler,CNOT-OPT methods vs Qiskit/TKET/SWAP methods,cnot_count,A < B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;other,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2011.12191v4.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2011_12191v4_claim2,P10,P10,transpiler/compiler,CNOT-OPT-A vs CNOT-OPT-B,cnot_count_overhead,A < B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;other,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2011.12191v4.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2011_12191v4_claim5,P10,P10,transpiler/compiler,CNOT-OPT-A vs Qiskit/TKET,cnot_count_overhead,A < B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;other,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2011.12191v4.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2007_15671v1_claim2,P5,P5,optimization/QAOA,QAOA-OLSQ vs tket/tool used in leading QAOA study,depth_and_additional_cost,A < B,T4,high,no,not_provided,insufficient,no_go,artifact;baseline;data,no_go,no,excluded,A required comparator or solver stack is not available as a local executable artifact.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2007.15671v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2007_15671v1_claim3,P5,P5,transpiler/compiler,TB-OLSQ vs TriQ/tket,fidelity_and_cost,A > B,T4,high,no,not_provided,insufficient,no_go,artifact;baseline;data;metric,no_go,no,excluded,A required comparator or solver stack is not available as a local executable artifact. The metric requires a paper-specific measurement/fidelity model.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2007.15671v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2007_15671v1_claim4,P5,P5,transpiler/compiler,TB-OLSQ-SWAP vs tket,cx_cost,A < B,T4,high,no,not_provided,insufficient,no_go,artifact;baseline;data,no_go,no,excluded,A required comparator or solver stack is not available as a local executable artifact.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2007.15671v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2309_05157v1_claim1,P32,P32,transpiler/compiler,Superstaq vs Qiskit optimization_level=3,hellinger_fidelity,A > B,T4,high,no,not_provided,insufficient,no_go,artifact;baseline;data;metric,no_go,no,excluded,A required comparator or solver stack is not available as a local executable artifact. The metric requires a paper-specific measurement/fidelity model.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2309.05157v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2309_05157v1_claim2,P32,P32,VQE/chemistry/ansatz,Superstaq DD vs Qiskit baseline,relative_strength_or_success,A > B,T4,high,no,not_provided,insufficient,no_go,artifact;baseline;data,no_go,no,excluded,A required comparator or solver stack is not available as a local executable artifact.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2309.05157v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2410_04030v1_claim1,P43,P43,optimization/QAOA,QUBO encoding vs penalty dephasing/Zeno encoding,ancilla_qubits_and_two_qubit_gates,A < B,T3,medium,no,available,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;other;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2410.04030v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2410_04030v1_claim2,P43,P43,optimization/QAOA,penalty dephasing/Zeno encoding vs QUBO encoding,optimization_iterations_and_runtime,A < B,T3,medium,no,available,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts. Runtime metrics also require host/environment normalization.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2410.04030v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2405_09169v3_claim1,P37,P37,optimization/QAOA,LR-QAOA vs SA/TABU/B&B,time_to_solution_scaling,A > B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;resource_budget,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components. Runtime metrics also require host/environment normalization.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2405.09169v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2405_09169v3_claim3,P37,P37,optimization/QAOA,LR-QAOA p=3 vs LR-QAOA p=40,time_and_two_qubit_gates_at_same_ratio,A < B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;resource_budget,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components. Runtime metrics also require host/environment normalization.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2405.09169v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2301_00520v2_claim3,P22,P22,optimization/QAOA,2-round QAOA vs 1-round QAOA,average_energy,A < B,T3,medium,no,available,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2301.00520v2.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2409_08844v2_claim1,P41,P41,benchmark/toolkit,Cirq vs Qiskit / nearest competitor,construction time,A < B,T1,high,yes,already_materialized,sufficient,completed,,already_executable,yes,main_external_audit_candidate,Completed as an N=80 external audit with an existing faithful adapter or artifact-backed materialization.,local_adapter,paper/output/figures/section5/external_forest_data.csv (EX-C8 row); paper/output/figures/section5/per_claim_external_audit.csv (EX-C8),Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2409_08844v2_claim3,P41,P41,transpiler/compiler,"Qiskit vs BQSKit, Staq, and Tket",2Q gate count,A < B,T1,high,yes,already_materialized,sufficient,completed,,already_executable,yes,main_external_audit_candidate,Completed as an N=80 external audit with an existing faithful adapter or artifact-backed materialization.,local_adapter,paper/output/figures/section5/external_forest_data.csv (EX-C7 row); paper/output/figures/section5/per_claim_external_audit.csv (EX-C7),Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2409_08844v2_claim4,P41,P41,transpiler/compiler,Tket vs Qiskit,2Q gate depth,A < B,T1,high,yes,already_materialized,sufficient,completed,,already_executable,yes,main_external_audit_candidate,Completed as an N=80 external audit with an existing faithful adapter or artifact-backed materialization.,local_adapter,paper/output/figures/section5/external_forest_data.csv (EX-C5 row); paper/output/figures/section5/per_claim_external_audit.csv (EX-C5),Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2409_08844v2_claim6,P41,P41,transpiler/compiler,"Staq vs Qiskit, QTS, Tket, and BQSKit",transpilation runtime,A < B,T3,medium,no,available,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts. Runtime metrics also require host/environment normalization.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2409.08844v2.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2403_02045v3_claim1,P35,P35,optimization/QAOA,RQRAO vs Goemans-Williamson and recursive QAOA,solution quality / approximation ratio,A > B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2403.02045v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2401_02852v1_claim2,P34,P34,optimization/QAOA,QAOA vs WalkSATlm and WalkSATm2b2,median running time / scaling,A > B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;resource_budget,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components. Runtime metrics also require host/environment normalization.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2401.02852v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
