claim_id,paper_id,claim_text_excerpt,exact_proxy_free_yes_no,broader_auditable_design_yes_no,evidence_mode_if_auditable,missing_or_limiting_component,reason_not_exact,reason_not_broader_auditable_if_applicable,source_reporting_limitation_yes_no,methodology_limitation_yes_no,strongest_audit_type,blocker_type,notes
ext_2011_12191v4_claim1,2011.12191v4,Our methods give less CNOT-count compared to Qiskit and TKET transpiler as well as using SWAP gates.,no,yes,source_supported_extension,baseline_implementation,baseline-version (declared) [DONE 16square 0/70],,no,no,RQ2-A,evidence-boundary,tier=T3
ext_2011_12191v4_claim2,2011.12191v4,"Hence, in CNOT-OPT-A this eﬀect is mitigated to some extent by conﬁning this reduction in shorter segments, leading to a better performance ",no,yes,source_supported_extension,reporting,internal A/B variants not separable in Results,,yes,no,RQ2-A,reporting,tier=T3
ext_2011_12191v4_claim5,2011.12191v4,"Despite such diﬀerence, our CNOT-OPT-A algorithm gives much less overhead compared to Qiskit and TKET in most cases.",no,yes,source_supported_extension,baseline_implementation,baseline-version (declared) [DONE 16square 0/70],,no,no,RQ2-A,evidence-boundary,tier=T3
ext_2102_00345v2_claim1,2102.00345v2,"When employing a fixed ansatz, we find that PQE can converge disentangled (factorized) UCC wave functions to essentially identical energies ",no,yes,source_supported_extension,relation,simulatable expected value (QAOA/VQE) OR aggregate -> RQ2-C,,no,no,RQ2-A,env/needs-build,tier=T3
ext_2107_08606v3_claim2,2107.08606v3,From Table S9 it is clear that Pennylane-qulacs is on average about 2 times faster than Pennylane default and about 3 times faster than Penn,no,yes,relation_specific,runtime_environment,runtime host-sensitive -> extension/sensitivity or ratio preservation,,no,no,RQ2-D,environment,tier=T3
ext_2110_00592v2_claim1,2110.00592v2,"Without applying commutation rules, Nuwa uses approximately 34% fewer Swap gates than tket on average, and 66% fewer than SABRE.",no,no,none,baseline_implementation,Nuwa method code unconfirmed; tket baseline runnable,Nuwa method code unconfirmed; tket baseline runnable,yes,no,RQ2-E,reporting/environment,tier=T4
ext_2110_00592v2_claim2,2110.00592v2,"On average, Nuwa uses 9.0% fewer Swap gates than tket and 51.8% fewer Swap gates than arct for QSP circuits.",no,no,none,reporting/environment,Nuwa code unconfirmed,Nuwa code unconfirmed,yes,no,RQ2-E,reporting/environment,tier=T4
ext_2110_00592v2_claim3,2110.00592v2,"For product formula circuits, Nuwa uses 13.1% more Swap gates than tket but 83.1% fewer than arct.",no,yes,source_supported_extension,reporting/environment,claim is tket<Nuwa; tket runnable but Nuwa unconfirmed,,yes,no,RQ2-A,reporting/environment,tier=T4
ext_2111_03016v3_claim3,2111.03016v3,"With a small sacriﬁce in solution quality, the GNN (once trained) is able to generate candidate solutions signiﬁcantly faster than SDP relax",no,yes,source_supported_extension,relation,simulatable expected value (QAOA/VQE) OR aggregate -> RQ2-C,,no,no,RQ2-A,env/needs-build,tier=T3
ext_2112_03199v4_claim2,2112.03199v4,"In addition, Qiskit Runtime enabled warm-start QAOA ran 18 times faster than the normal implementation of warm-start QAOA, providing similar",no,yes,relation_specific,runtime_environment,runtime host-sensitive -> extension/sensitivity or ratio preservation,,no,no,RQ2-D,environment,tier=T3
ext_2202_14025v1_legacy_claim12,2202.14025v1,We found that Pytket with the backend implemented in C++ showed the best runtime performance.,yes,yes,exact,(none; exact),,,no,no,RQ2-A,none,tier=T1
ext_2202_14025v1_legacy_claim22,2202.14025v1,"Trotter decomposition circuits, subroutines PytketChem and FullReduce demonstrate the best and the worst two-qubit gates count compression p",no,yes,source_supported_extension,relation,simulatable expected value (QAOA/VQE) OR aggregate -> RQ2-C,,no,no,RQ2-A,env/needs-build,tier=T3
ext_2202_14025v1_legacy_claim6,2202.14025v1,"Both algorithms show somewhat diﬀerent performance according to CX depth overhead, where Transpile (Qiskit) outperforms DefaultMapping (Pytk",yes,yes,exact,(none; exact),,,no,no,RQ2-A,none,tier=T1
ext_2205_01726v1_claim1,2205.01726v1,The conjugate gradient approach appears to be better but shows strong oscillations in the gradient norm (note if we loosen the update parame,no,yes,source_supported_extension,relation,simulatable expected value (QAOA/VQE) OR aggregate -> RQ2-C,,no,no,RQ2-A,env/needs-build,tier=T3
ext_2205_01726v1_claim5,2205.01726v1,"As a result, these calculations exhibited faster convergence and required fewer iterations than traditional ADAPT-VQE.",no,yes,source_supported_extension,source_rows,build both on source-specified instances (structural count),,no,no,RQ2-A,env/needs-build,tier=T3
ext_2206_06684v1_claim1,2206.06684v1,"Therefore, QRewriting is about three tim es faster than PaF, and the resulting circuits are better optimized.",no,yes,relation_specific,runtime_environment,runtime host-sensitive -> extension/sensitivity or ratio preservation,,no,no,RQ2-D,environment,tier=T3
ext_2206_06684v1_claim2,2206.06684v1,"Compared with the existing tool PaF, QRewriting im proved the depth (resp. gate count) reduction by 29% (resp.",no,yes,source_supported_extension,source_rows,build both on source-specified instances (structural count),,no,no,RQ2-A,env/needs-build,tier=T3
ext_2206_09938v2_claim2,2206.09938v2,"Additionally, we also show in Figure 3 that this gain is not won at the cost of total two-qubit gates – the latter remains signiﬁcantly lowe",no,no,none,reporting,MultiQopt method code unconfirmed,MultiQopt method code unconfirmed,yes,no,RQ2-E,reporting,tier=T3
ext_2209_02669v3_claim1,2209.02669v3,Our optimized Toﬀoli gate implementation demonstrates an 18% reduction in inﬁdelity compared with the canonical implementation as benchmarke,no,yes,relation_specific,env+methodology,fidelity needs noise model/execution -> relation-specific or extension,,no,readiness(relation-model/host),RQ2-C,env+methodology,tier=T3
ext_2209_02669v3_claim2,2209.02669v3,"We measured our optimized Toﬀoli gate, the canonical Toﬀoli gate, and the IBM Qiskit-compiled Toﬀoli gate average gate ﬁdelities to be 0 .86",no,yes,relation_specific,env+methodology,fidelity needs noise model/execution -> relation-specific or extension,,no,readiness(relation-model/host),RQ2-C,env+methodology,tier=T3
ext_2211_07685v3_claim1,2211.07685v3,"Considering the depth me tric, the circuits generated by SQUANDER are in average 19 times shallower than the QISKIT generated circuits for t",no,yes,relation_specific,reporting,OCR reliability; 9q 467x vs 479.5x mismatch,,yes,no,RQ2-C,reporting,tier=T3
ext_2211_07685v3_claim2,2211.07685v3,In our 9-qubit experiment we achieved a 467 times shallower circuit than with QISKIT.,no,yes,relation_specific,reporting,OCR reliability,,yes,no,RQ2-C,reporting,tier=T3
ext_2211_07685v3_claim3,2211.07685v3,"In our benchmark with the QISKIT package, the depth of the circuits produ ced by the SQUANDER package (with the DFE accelerator support) wer",no,yes,source_supported_extension,source_rows,build both on source-specified instances (structural count),,no,no,RQ2-A,env/needs-build,tier=T3
ext_2211_07685v3_claim4,2211.07685v3,"According to our numerical experiments, the DFE implementa tion on a single FPGA chip can evaluate the cost function (1) and its gradi ent c",no,yes,relation_specific,env+methodology,fidelity needs noise model/execution -> relation-specific or extension,,no,readiness(relation-model/host),RQ2-C,env+methodology,tier=T3
ext_2301_00520v2_claim3,2301.00520v2,The 2-round QAOA results had better average energy compared the 1-round results in 6 out of the 10 problem instances.,no,yes,source_supported_extension,relation,simulatable expected value (QAOA/VQE) OR aggregate -> RQ2-C,,no,no,RQ2-A,env/needs-build,tier=T3
ext_2302_04479v2_claim1,2302.04479v2,"When benchmarked against MA-QAOA1, QAOA1, CR, and the GW algorithm onD-regular graphs with 128 and 256 vertices for 3 ≤ D ≤ 10, XQAOAX=Y 1 c",no,yes,source_supported_extension,relation,simulatable expected value (QAOA/VQE) OR aggregate -> RQ2-C,,no,no,RQ2-A,env/needs-build,tier=T3
ext_2302_04479v2_claim2,2302.04479v2,"More specifically, we show that while XQAOAY 1 can find the MaxCut ofS4 with an approximation ratio of 1, QAOA1 can achieve an approximation",no,yes,source_supported_extension,relation,simulatable expected value (QAOA/VQE) OR aggregate -> RQ2-C,,no,no,RQ2-A,env/needs-build,tier=T3
ext_2302_04479v2_claim3,2302.04479v2,"lower, middle and upper quartile values ofXQAOAX=Y 1 are significantly higher than those of the GW algorithm for graphs with D > 4, indicati",no,yes,source_supported_extension,relation,simulatable expected value (QAOA/VQE) OR aggregate -> RQ2-C,,no,no,RQ2-A,env/needs-build,tier=T3
ext_2303_02830v1_claim1,2303.02830v1,"Experimental results on both IBM QX5 and IBM QX20 show that ISAAQ outperforms the heuristic methods available in Qiskit and tket, as well as",no,no,none,environment,commercial Fixstars Amplify solver; no per-circuit rows,commercial Fixstars Amplify solver; no per-circuit rows,no,no,RQ2-E,environment,tier=T3
ext_2304_08814v2_claim5,2304.08814v2,"Qiskit and TKET have a similar runtime, where TKET is slightly slower with much better CNOT counts.",yes,yes,exact,(none; exact),,,no,no,RQ2-A,none,tier=T1
ext_2304_08814v2_claim6,2304.08814v2,"ParitySynth and Steiner-GraySynth are an order of magnitude faster than Qiskit and TKET, even though the additional iterations of Reverse Tr",no,yes,relation_specific,runtime_environment,host-sensitive; qualitative order-of-magnitude target,,yes,no,RQ2-D,environment+reporting,tier=T3
ext_2304_08814v2_claim7,2304.08814v2,"For small circuits, TKET is the best compiler, but for larger circuits, ParitySynth and Steiner-GraySynth generated fewer CNOTs.",no,yes,relation_specific,none(clean),derived crossover predicate; thin tail,,no,no,RQ2-C,none(clean),tier=T3
ext_2305_03390v1_claim3,2305.03390v1,"When using a quantum circuit simulator however, the wallclock times for the PUBO formulations showed much better results, most probably beca",no,yes,source_supported_extension,relation,simulatable expected value (QAOA/VQE) OR aggregate -> RQ2-C,,no,no,RQ2-A,env/needs-build,tier=T3
ext_2306_02024v1_claim1,2306.02024v1,"As opposed, the TTOpt outperforms the BFGS optimizer for L = 2 − 4 layers, but its convergence improves with L slower and can not compete in",no,yes,source_supported_extension,relation,simulatable expected value (QAOA/VQE) OR aggregate -> RQ2-C,,no,no,RQ2-A,env/needs-build,tier=T3
ext_2308_01789v1_claim1,2308.01789v1,"Number of Gates and Cnot Upon the examination of Table II and III, it is clear that, despite having similar approximation ratios, there is a",no,yes,source_supported_extension,source_rows,build both on source-specified instances (structural count),,no,no,RQ2-A,env/needs-build,tier=T3
ext_2308_01789v1_claim2,2308.01789v1,"Furthermore, V Ans builds circuits with the lowest number of gates and cnot gates, probably because it is the only algorit hm that applies s",no,yes,source_supported_extension,source_rows,build both on source-specified instances (structural count),,no,no,RQ2-A,env/needs-build,tier=T3
ext_2308_02536v1_legacy_claim2,2308.02536v1,"Taking into account that the (Pauli-)X gate and CNOT in the circuit commute, the schedule shown in Fig. 3(C) would be a better schedule, sin",no,yes,source_supported_extension,relation,simulatable expected value (QAOA/VQE) OR aggregate -> RQ2-C,,no,no,RQ2-A,env/needs-build,tier=T3
ext_2308_10383v2_claim4,2308.10383v2,"In the case of the \""stronglyentangling-layers\"" Ansatz we utilized, it grows logarithmically with the number of nodes, resulting in circuit",no,yes,source_supported_extension,source_rows,build both on source-specified instances (structural count),,no,no,RQ2-A,env/needs-build,tier=T3
ext_2309_04754v1_claim1,2309.04754v1,Exponential saving on input state copies: To achieve arbitrarily precise estimates of all function evaluations that one encounters during an,no,yes,source_supported_extension,source_rows,build both on source-specified instances (structural count),,no,no,RQ2-A,env/needs-build,tier=T3
ext_2309_05157v1_claim1,2309.05157v1,"Superstaq increases Hellinger fidelity by 2.3x and 13x compared to Qiskit’s highest optimization, level-3.",no,yes,relation_specific,env+methodology,fidelity needs noise model/execution -> relation-specific or extension,,no,readiness(relation-model/host),RQ2-C,env+methodology,tier=T4
ext_2309_05157v1_claim2,2309.05157v1,"Superstaq DD significantly improves program outcomes, with results as high as 68x on the Hanoi machine relative to the Qiskit baseline.",no,yes,relation_specific,env+methodology,fidelity needs noise model/execution -> relation-specific or extension,,no,readiness(relation-model/host),RQ2-C,env+methodology,tier=T4
ext_2311_15123v3_claim5,2311.15123v3,"19 shows that although Q-Pilot has less depth than Atomique, Atomique has better overall fidelity, showing a better balance between depth, t",no,yes,relation_specific,env+methodology,fidelity needs noise model/execution -> relation-specific or extension,,no,readiness(relation-model/host),RQ2-C,env+methodology,tier=T4
ext_2311_15123v3_claim7,2311.15123v3,"In lowdegree, well-localized circuits, Atomique’s performance falls marginally behind FAA due to higher decoherence incurred by movement.",no,yes,relation_specific,env+methodology,fidelity needs noise model/execution -> relation-specific or extension,,no,readiness(relation-model/host),RQ2-C,env+methodology,tier=T4
ext_2401_02852v1_claim2,2401.02852v1,• Demonstrate that QAOA outperforms both WalkSATlm and WalkSATm2b2 on a range of k-NAE-SAT instances.,no,yes,source_supported_extension,relation,simulatable expected value (QAOA/VQE) OR aggregate -> RQ2-C,,no,no,RQ2-A,env/needs-build,tier=T3
ext_2403_02045v3_claim1,2403.02045v3,"Experiments on standard benchmark graphs with several hundred nodes in the MAX-CUT problem, conducted in a fully classical manner using a te",no,yes,source_supported_extension,relation,simulatable expected value (QAOA/VQE) OR aggregate -> RQ2-C,,no,no,RQ2-A,env/needs-build,tier=T3
ext_2405_07624v1_claim5,2405.07624v1,"The HOBO formulation is comparable up until k + 1 = 5 ; after that, ⌈log2 k⌉ = 3 , and therefore, the number of terms increases the circuit ",no,yes,source_supported_extension,source_rows,build both on source-specified instances (structural count),,no,no,RQ2-A,env/needs-build,tier=T3
ext_2405_09169v3_claim1,2405.09169v3,"We find a scaling improvement in terms of the timeto-solution (TTS) [14] when using LR-QAOA compared to SA, TABU search, and B&B for solving",no,yes,source_supported_extension,relation,simulatable expected value (QAOA/VQE) OR aggregate -> RQ2-C,,no,no,RQ2-A,env/needs-build,tier=T3
ext_2405_09169v3_claim3,2405.09169v3,"This leads to an interesting behavior, for instance, at p = 3 the approximation ratio is the same as that at p = 40 for the 109-qubit case, ",no,yes,source_supported_extension,source_rows,build both on source-specified instances (structural count),,no,no,RQ2-A,env/needs-build,tier=T3
ext_2405_20173v2_claim2,2405.20173v2,The importance of these results is accentuated by the fact that the depths of the circuits employed by Eclipse Qrisp’s QAOA are significantl,no,yes,source_supported_extension,source_rows,exact 15 script-gen instances unreleased -> declared extension on released QOPTLib,,yes,no,RQ2-A,reporting,tier=T3
ext_2406_06836v3_claim2,2406.06836v3,"The qiskit-braket-provider demonstrates the best performance, with the lowest transpilation times observed as the gatecount increases.",no,yes,relation_specific,runtime_environment,runtime host-sensitive -> extension/sensitivity or ratio preservation,,no,no,RQ2-D,environment,tier=T3
ext_2407_01010v2_claim1,2407.01010v2,"The GA-VQA circuit has the shortest depth (9), compared to 11 and 38 for the others.",no,yes,source_supported_extension,source_rows,none (code public; build on source instances) [CORRECTED],,no,no,RQ2-A,none,tier=T3
ext_2407_01010v2_claim3,2407.01010v2,"As seen in Figure 5(d), the ansatzes identified by GA-VQA possess more parameters compared to UCCSD ansatz but require significantly less de",no,yes,source_supported_extension,source_rows,build both on source-specified instances (structural count),,no,no,RQ2-A,env/needs-build,tier=T3
ext_2407_01010v2_claim4,2407.01010v2,This is why the accuracy of this method is lower compared to the exact result and GA-VQA method.,no,yes,source_supported_extension,relation,simulatable expected value (QAOA/VQE) OR aggregate -> RQ2-C,,no,no,RQ2-A,env/needs-build,tier=T3
ext_2409_08844v2_claim1,2409.08844v2,Results worth highlighting include Cirq's performance at constructing a set of Hamiltonian simulation circuits (test_DTC100_set_build) in a ,yes,yes,exact,(none; exact),,,no,no,RQ2-A,none,tier=T1
ext_2409_08844v2_claim3,2409.08844v2,"First, we see that, as a whole, Qiskit outperforms BQSKit, Staq, and Tket in terms of 2Q gate count; a trend clearly seen in the BQSKit and ",yes,yes,exact,(none; exact),,,no,no,RQ2-A,none,tier=T1
ext_2409_08844v2_claim4,2409.08844v2,"In contrast, while the two-qubit gate depth is worse than Qiskit for BQSKit and Staq, Tket outperforms Qiskit overall, with prominent gains ",yes,yes,exact,(none; exact),,,no,no,RQ2-A,none,tier=T1
ext_2409_08844v2_claim6,2409.08844v2,"(3) clearly show that Staq is the fastest of the transpilation pipelines, while the QTS and Tket are over an order of magnitude slower that ",no,yes,relation_specific,runtime_environment,runtime host-sensitive -> extension/sensitivity or ratio preservation,,no,no,RQ2-D,environment,tier=T3
ext_2409_14786v3_claim2,2409.14786v3,"The results show that Parity QAOA when using ˜Cbest as the objective function, has an advantage in terms of CNOT depth but not in CNOT gate ",no,yes,source_supported_extension,baseline_implementation,build candidate vs baseline ansatz,,no,no,RQ2-A,env/needs-build,tier=T3
ext_2409_14786v3_claim3,2409.14786v3,"For the two small problems, the complete graph N = 7 and the 4-regular graph N = 8, the Parity QAOA circuit has a depth 5 times smaller than",no,no,verification_only,env/needs-build,build ansatz,build ansatz,no,no,RQ2-A,env/needs-build,tier=
ext_2409_14786v3_claim4,2409.14786v3,"In terms of CNOT gate count, the Parity QAOA circuit for the complete graph N = 7 comprises about 3 .1 times fewer and the circuit for the 4",no,no,verification_only,env/needs-build,build ansatz,build ansatz,no,no,RQ2-A,env/needs-build,tier=
ext_2409_14786v3_claim5,2409.14786v3,"However, the Parity QAOA circuit for the complete graph with N = 21 includes about 3 .6 times more CNOT gates (This is again an upper bound ",no,yes,source_supported_extension,source_rows,build both on source-specified instances (structural count),,no,no,RQ2-A,env/needs-build,tier=T3
ext_2409_14786v3_claim6,2409.14786v3,"The results indicate that choosing the best spanning tree energy ˜Cbest (best, p = 1) yields a significantly higher approximation ratio than",no,yes,source_supported_extension,relation,simulatable expected value (QAOA/VQE) OR aggregate -> RQ2-C,,no,no,RQ2-A,env/needs-build,tier=T3
ext_2409_14786v3_claim7,2409.14786v3,"In this case, Vanilla QAOA returns a significantly higher value.",no,yes,source_supported_extension,relation,simulatable expected value (QAOA/VQE) OR aggregate -> RQ2-C,,no,no,RQ2-A,env/needs-build,tier=T3
ext_2409_14786v3_claim8,2409.14786v3,"The results show that for this hypergraph, Parity QAOA outperforms vanilla QAOA.",no,yes,source_supported_extension,relation,simulatable expected value (QAOA/VQE) OR aggregate -> RQ2-C,,no,no,RQ2-A,env/needs-build,tier=T3
ext_2410_04030v1_claim1,2410.04030v1,"Quadratization (QUBO) requires fewer ancilla qubits and two-qubit gates compared to the other two methods, as the constraints are embedded i",no,yes,source_supported_extension,source_rows,build both on source-specified instances (structural count),,no,no,RQ2-A,env/needs-build,tier=T3
ext_2410_04030v1_claim2,2410.04030v1,"Although QUBO uses fewer ancilla qubits and two-qubit gates, the results indicate that it requires a greater number of optimization iteratio",no,yes,source_supported_extension,relation,simulatable expected value (QAOA/VQE) OR aggregate -> RQ2-C,,no,no,RQ2-A,env/needs-build,tier=T3
ext_2411_00518v2_claim1,2411.00518v2,"Furthermore, we conduct numerical experiments for our method on the same benchmark instances as for the Copula-QAOA and demonstrate that our",yes,yes,exact,(none; exact),,,no,no,RQ2-A,none,tier=T1
ext_2411_00518v2_claim3,2411.00518v2,"It should be noted, however, that it achieves significantly better probability values between five and ten items compared to the QTGbased AA",yes,yes,exact,(none; exact),,,no,no,RQ2-A,none,tier=T1
